Site name;abbreviation;deposit_type;country_location;elevation;longitude;latitude
Salton Sea;Sal;geothermal;US-WECC;-71;-115.57814;33.17757
Upper Rhine Graben;URG;geothermal;DE;143;7.97511;48.65578
Salar de Atacama;Ata;salar;CL;2300;-68.32159;-23.64182
Salar de Olaroz;Ola;salar;AR;3900;-66.7;-23.45
Salar de Cauchari-Olaroz;Cau;salar;AR;3000;-66.79067;-23.75738
Salar del Hombre Muerto North;Hom;salar;AR;4000;-66.98187;-25.22556
Tres Quebradas;TresQ;salar;AR;4100;-68.66513;-27.36413
Salar del Rincon;Rin;salar;AR;3718;-67.12;-24.0575
Salar de Arizaro;Ari;salar;AR;3480;-67.70972;-24.77014
Salar de Rio Grande;Rio;salar;AR;3660;-68.14443;-25.00605
Salar de Tolillar;Tol;salar;AR;3630;-67.12411;-25.03672
Sal de los Angeles;Ang;salar;AR;4060;-66.74833;-25.24472
Fenix;Fen;salar;AR;4000;-67.04878;-25.3927
Sal de Vida;Vid;salar;AR;4000;-66.94715;-25.34532
Salar de Pastos Grandes;Pas;salar;AR;3780;-66.70459;-24.57086
Salar de Antofalla;Ant;salar;AR;3330;-67.463;-25.248
Salar de Centenario;Cent;salar;AR;3820;-66.81628;-25.09077
Salar de Pocitos;Poc;salar;AR;3673;-67.00505;-24.56123
Pozuelos;Poz;salar;AR;3760;-66.81781;-24.69897
Salar de Salinas Grandes;SalG;salar;AR;3414;-65.94639;-23.72856
Maricunga;Mari;salar;CL;3750;-69.071664;-26.877736
Salar de Uyuni;Uyu;salar;BOL;3653;-67.37803;-20.54285
Qinghai Yiliping;Yilip;salar;CN;2700;91.48386;38.54061
Silver Peak;Sil;salar;US;1544;-117.57931;37.77544
Kachi;Kach;salar;AR;3000;-67.42899;-26.49883
Chaerhan;Chaer;salar;CN ;2670;95.24038;36.78454
