Substance;categories;location;CF_DALY_per_kg
Particulates, < 2.5 um;('air', 'low population density, long-term');Salton Sea;0.00000695
Particulates, < 2.5 um;('air', 'lower stratosphere + upper troposphere');Salton Sea;0.00000695
Particulates, < 2.5 um;('air', 'non-urban air or from high stacks');Salton Sea;0.00000695
Particulates, < 2.5 um;('air', 'urban air close to ground');Salton Sea;0.00000695
Particulates, < 2.5 um;('air',);Upper Rhine Graben;0.00000695
Particulates, < 2.5 um;('air', 'low population density, long-term');Upper Rhine Graben;0.0000194
Particulates, < 2.5 um;('air', 'lower stratosphere + upper troposphere');Upper Rhine Graben;0.0000194
Particulates, < 2.5 um;('air', 'non-urban air or from high stacks');Upper Rhine Graben;0.0000194
Particulates, < 2.5 um;('air', 'urban air close to ground');Upper Rhine Graben;0.0000194
Particulates, < 2.5 um;('air',);Upper Rhine Graben;0.0000194
Sulfur dioxide;('air', 'low population density, long-term');Salton Sea;0.00000111
Sulfur dioxide;('air', 'lower stratosphere + upper troposphere');Salton Sea;0.00000111
Sulfur dioxide;('air', 'non-urban air or from high stacks');Salton Sea;0.00000111
Sulfur dioxide;('air', 'urban air close to ground');Salton Sea;0.00000111
Sulfur dioxide;('air',);Salton Sea;0.00000111
Sulfur dioxide;('air', 'low population density, long-term');Upper Rhine Graben;0.00000276
Sulfur dioxide;('air', 'lower stratosphere + upper troposphere');Upper Rhine Graben;0.00000276
Sulfur dioxide;('air', 'non-urban air or from high stacks');Upper Rhine Graben;0.00000276
Sulfur dioxide;('air', 'urban air close to ground');Upper Rhine Graben;0.00000276
Sulfur dioxide;('air',);Upper Rhine Graben;0.00000276
Nitrogen oxides;('air', 'low population density, long-term');Salton Sea;0.000000265
Nitrogen oxides;('air', 'lower stratosphere + upper troposphere');Salton Sea;0.000000265
Nitrogen oxides;('air', 'non-urban air or from high stacks');Salton Sea;0.000000265
Nitrogen oxides;('air', 'urban air close to ground');Salton Sea;0.000000265
Nitrogen oxides;('air',);Salton Sea;0.000000265
Nitrogen oxides;('air', 'low population density, long-term');Upper Rhine Graben;0.000000736
Nitrogen oxides;('air', 'lower stratosphere + upper troposphere');Upper Rhine Graben;0.000000736
Nitrogen oxides;('air', 'non-urban air or from high stacks');Upper Rhine Graben;0.000000736
Nitrogen oxides;('air', 'urban air close to ground');Upper Rhine Graben;0.000000736
Nitrogen oxides;('air',);Upper Rhine Graben;0.000000736
Ammonia;('air', 'low population density, long-term');Salton Sea;0.00000248
Ammonia;('air', 'lower stratosphere + upper troposphere');Salton Sea;0.00000248
Ammonia;('air', 'non-urban air or from high stacks');Salton Sea;0.00000248
Ammonia;('air', 'urban air close to ground');Salton Sea;0.00000248
Ammonia;('air',);Salton Sea;0.00000248
Ammonia;('air', 'low population density, long-term');Upper Rhine Graben;0.00000631
Ammonia;('air', 'lower stratosphere + upper troposphere');Upper Rhine Graben;0.00000631
Ammonia;('air', 'non-urban air or from high stacks');Upper Rhine Graben;0.00000631
Ammonia;('air', 'urban air close to ground');Upper Rhine Graben;0.00000631
Ammonia;('air',);Upper Rhine Graben;0.00000631
