Substance,categories,location,CF_DALY_per_kg
"Particulates, < 2.5 um","('air', 'low population density, long-term')",Salar de Atacama,0.00000695
"Particulates, < 2.5 um","('air', 'lower stratosphere + upper troposphere')",Salar de Atacama,0.00000695
"Particulates, < 2.5 um","('air', 'non-urban air or from high stacks')",Salar de Atacama,0.00000695
"Particulates, < 2.5 um","('air', 'urban air close to ground')",Salar de Atacama,0.00000695
"Particulates, < 2.5 um","('air',)",Salar de Atacama,0.00000695
"Particulates, < 2.5 um","('air', 'low population density, long-term')",Salar del Hombre Muerto ,0.0000194
"Particulates, < 2.5 um","('air', 'lower stratosphere + upper troposphere')",Salar del Hombre Muerto ,0.0000194
"Particulates, < 2.5 um","('air', 'non-urban air or from high stacks')",Salar del Hombre Muerto ,0.0000194
"Particulates, < 2.5 um","('air', 'urban air close to ground')",Salar del Hombre Muerto ,0.0000194
"Particulates, < 2.5 um","('air',)",Salar del Hombre Muerto ,0.0000194
"Particulates, < 2.5 um","('air', 'low population density, long-term')",Salar de Olaroz,0.0000192
"Particulates, < 2.5 um","('air', 'lower stratosphere + upper troposphere')",Salar de Olaroz,0.0000192
"Particulates, < 2.5 um","('air', 'non-urban air or from high stacks')",Salar de Olaroz,0.0000192
"Particulates, < 2.5 um","('air', 'urban air close to ground')",Salar de Olaroz,0.0000192
"Particulates, < 2.5 um","('air',)",Salar de Olaroz,0.0000192
"Particulates, < 2.5 um","('air', 'low population density, long-term')",Salar de Cauchari-Olaroz,0.0000192
"Particulates, < 2.5 um","('air', 'lower stratosphere + upper troposphere')",Salar de Cauchari-Olaroz,0.0000192
"Particulates, < 2.5 um","('air', 'non-urban air or from high stacks')",Salar de Cauchari-Olaroz,0.0000192
"Particulates, < 2.5 um","('air', 'urban air close to ground')",Salar de Cauchari-Olaroz,0.0000192
"Particulates, < 2.5 um","('air',)",Salar de Cauchari-Olaroz,0.0000192
"Particulates, < 2.5 um","('air', 'low population density, long-term')",Chaerhan Salt Lake,0.0000114
"Particulates, < 2.5 um","('air', 'lower stratosphere + upper troposphere')",Chaerhan Salt Lake,0.0000114
"Particulates, < 2.5 um","('air', 'non-urban air or from high stacks')",Chaerhan Salt Lake,0.0000114
"Particulates, < 2.5 um","('air', 'urban air close to ground')",Chaerhan Salt Lake,0.0000114
"Particulates, < 2.5 um","('air',)",Chaerhan Salt Lake,0.0000114
Sulfur dioxide,"('air', 'low population density, long-term')",Salar de Atacama,0.00000111
