"Substance";"categories";"location";"CF_DALY_per_kg"
"Particulates, < 2.5 um";"('air',)";"RER";0.000177
"Particulates, < 2.5 um";"('air',)";"IAI Area, Asia, without China and GCC";0.000296
"Particulates, < 2.5 um";"('air',)";"CA";1.06e-05
"Particulates, < 2.5 um";"('air',)";"IAI Area, EU27 & EFTA";0.000271
"Particulates, < 2.5 um";"('air',)";"MA";0.000176
"Particulates, < 2.5 um";"('air',)";"RNA";4.16e-05
"Particulates, < 2.5 um";"('air',)";"IN";0.000664
"Particulates, < 2.5 um";"('air',)";"PE";0.000108
"Particulates, < 2.5 um";"('air',)";"CA-QC";1.61e-05
"Particulates, < 2.5 um";"('air',)";"IAI Area, Africa";0.000299
"Particulates, < 2.5 um";"('air',)";"BR";7.45e-05
"Particulates, < 2.5 um";"('air',)";"UN-OCEANIA";9.65e-06
"Particulates, < 2.5 um";"('air',)";"Europe without Switzerland and Austria";0.000176
"Particulates, < 2.5 um";"('air',)";"RLA";0.000105
"Particulates, < 2.5 um";"('air',)";"IT";0.000429
"Particulates, < 2.5 um";"('air',)";"TN";0.000215
"Particulates, < 2.5 um";"('air',)";"Europe without Switzerland";0.000177
"Particulates, < 2.5 um";"('air',)";"IAI Area, Russia & RER w/o EU27 & EFTA";2.68e-05
"Particulates, < 2.5 um";"('air',)";"CO";0.000216
"Particulates, < 2.5 um";"('air',)";"MY";0.000231
"Particulates, < 2.5 um";"('air',)";"US";0.000112
"Particulates, < 2.5 um";"('air',)";"IAI Area, Gulf Cooperation Council";8.67e-05
"Particulates, < 2.5 um";"('air',)";"CN";0.000211
"Particulates, < 2.5 um";"('air',)";"IAI Area, South America";6.99e-05
"Particulates, < 2.5 um";"('air',)";"ZA";9.26e-05
"Particulates, < 2.5 um";"('air',)";"AT";0.000337
"Particulates, < 2.5 um";"('air',)";"CA-AB";2.47e-05
"Particulates, < 2.5 um";"('air',)";"CH";0.000642
"Particulates, < 2.5 um";"('air',)";"GLO";3.29e-05
"Particulates, < 2.5 um";"('air',)";"DE";0.000633
"Particulates, < 2.5 um";"('air',)";"Europe without Austria";0.000177
"Particulates, < 2.5 um";"('air',)";"BE";0.000943
"Particulates, < 2.5 um";"('air',)";"PH";0.000691
"Particulates, < 2.5 um";"('air',)";"FR";0.000387
"Particulates, < 2.5 um";"('air',)";"ES";0.000298
"Particulates, < 2.5 um";"('air',)";"RoW";3.29e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"RER";0.000177
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"LU";0.000621
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CA-BC";1.33e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-YN";0.00037
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"IS";6.12e-06
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-BJ";0.000666
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"IR";0.000169
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CA-NF";3.72e-06
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"US-NPCC";0.00031
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"IE";0.000125
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-GX";0.000361
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"RO";0.000306
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"RNA";4.16e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-LN";0.000274
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CA-QC";1.61e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"US-WECC";9.29e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"TR";0.00033
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"US-HICC";3.38e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-FJ";0.000559
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"BR-Southern grid";0.000161
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-XZ";1.37e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"GB";0.00054
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"RER w/o CH+DE";0.000161
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"IN-KL";0.00166
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"US-RFC";0.000296
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"MK";0.000376
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"RU";2.63e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"IT";0.000429
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"MX";0.000252
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"NL";0.000867
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-NM";7.83e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"GR";0.000193
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"Europe without Switzerland";0.000177
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-HB";0.000423
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-SD";0.000521
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"US-SERC";0.000231
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CA-NT";2.52e-06
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"MY";0.000231
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CO";0.000216
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-SA";0.000364
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CA-SK";9.56e-06
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"ZA";9.26e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-SH";0.000889
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"AT";0.000337
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"GH";0.000464
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CA-NU";2.47e-06
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CH";0.000642
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"SA";6.13e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"HU";0.000306
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"EE";0.000131
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"DE";0.000633
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"IN-KA";0.000769
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"TH";0.000257
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"NO";2.06e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-NX";0.000287
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-QH";3.33e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"DK";0.000271
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"KR";0.000483
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-AH";0.000492
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-HN";0.000445
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CA-NS";3.05e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"PL";0.00028
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"TW";0.000972
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"ES";0.000298
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"CN-HU";0.000416
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"BR-North-eastern grid";7.03e-05
"Particulates, < 2.5 um";"('air', 'urban air close to ground')";"LT";0.00016
