Level,Fraction,Score,Description
0,1.0,25.106357695271157,"'df_rotary_dryer' (kilogram, Salar de Arizaro, None)"
1,0.9987855917158415,25.075868326500974,"'df_centrifuge_wash' (kilogram, Salar de Arizaro, None)"
2,0.9987712243705046,25.075507614789814,"'df_washing_BG' (kilogram, Salar de Arizaro, None)"
3,0.9985320134647936,25.069501900226424,"'df_centrifuge_BG' (kilogram, Salar de Arizaro, None)"
4,0.9984382947298474,25.067148964144113,"'df_Liprec_BG' (kilogram, Salar de Arizaro, None)"
5,0.9981908824152355,25.060937342075253,"'df_dissolution' (kilogram, Salar de Arizaro, None)"
6,0.9960855622333848,25.00808042052664,"'df_washing_TG' (kilogram, Salar de Arizaro, None)"
7,0.995846351354353,25.002074706633064,"'df_centrifuge_TG' (kilogram, Salar de Arizaro, None)"
8,0.9957540084117656,24.999756311685832,"'df_Liprec_TG' (kilogram, Salar de Arizaro, None)"
9,0.971150530922994,24.38205260530518,"'df_DLE_evaporation_ponds' (kilogram, Salar de Arizaro, None)"
10,0.9710270481979655,24.378952403841428,"'df_ion_exchange_L' (kilogram, Salar de Arizaro, None)"
11,0.9695706734977841,24.34238813968033,"'df_triple_evaporator' (kilogram, Salar de Arizaro, None)"
12,0.9685024378353003,24.315568633035166,"'df_Li_adsorption' (kilogram, Salar de Arizaro, None)"
13,0.9341314945229751,23.45263943591204,"'df_evaporation_ponds' (kilogram, Salar de Arizaro, None)"
14,0.9341315216424823,23.45264011678409,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
15,0.05324277138225834,1.3367320630105246,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
16,0.02558949599554993,0.6424590397059855,"'electricity, high voltage, hydro, import from UY' (kilowatt hour, AR, None)"
17,0.02558949599554993,0.6424590397059855,"'electricity production, hydro, reservoir, non-alpine region' (kilowatt hour, RoW, None)"
15,0.011729648759344766,0.29448875739200325,"'electricity production, natural gas, conventional power plant' (kilowatt hour, AR, None)"
15,0.04108738275124088,1.031554528115168,"'electricity, high voltage, hydro, import from PY' (kilowatt hour, AR, None)"
16,0.04108738275124088,1.031554528115168,"'electricity production, hydro, reservoir, tropical region' (kilowatt hour, RoW, None)"
15,0.44896150616894065,11.271788165285113,"'electricity, high voltage, hydro, import from UY' (kilowatt hour, AR, None)"
16,0.44896150616894065,11.271788165285113,"'electricity production, hydro, reservoir, non-alpine region' (kilowatt hour, RoW, None)"
15,0.06581184168068956,1.6522956378199471,"'electricity production, hydro, reservoir, alpine region' (kilowatt hour, AR, None)"
15,0.06315543760222617,1.5856030068428681,"'electricity production, hydro, reservoir, non-alpine region' (kilowatt hour, AR, None)"
15,0.11693575966623143,2.935831009548668,"'electricity production, hydro, reservoir, tropical region' (kilowatt hour, AR, None)"
15,0.0295703521942356,0.7424038393636253,"'electricity production, natural gas, combined cycle power plant' (kilowatt hour, AR, None)"
16,0.022799606874082067,0.5724150854922675,"'market for natural gas, high pressure' (cubic meter, RoW, None)"
15,0.09580860486757467,2.405405104090227,"'electricity production, nuclear, pressure water reactor, heavy water moderated' (kilowatt hour, AR, None)"
13,0.024766429433603628,0.6217948361947445,"'market for cationic resin' (kilogram, RoW, None)"
14,0.024594265369858582,0.61747242362809,"'cationic resin production' (kilogram, RoW, None)"
15,0.017129457081811874,0.4300582766217646,"'market for polystyrene, general purpose' (kilogram, GLO, None)"
16,0.015761538234923846,0.39571481675369086,"'polystyrene production, general purpose' (kilogram, RoW, None)"
9,0.023417642893385767,0.5879317188614677,"'market for soda ash, light' (kilogram, GLO, None)"
10,0.02127653299964798,0.5341762480044028,"'soda production, solvay process' (kilogram, RoW, None)"
