Level,Fraction,Score,Description
0,1.0,27.07442920329956,"'df_rotary_dryer' (kilogram, Salar de Atacama, None)"
1,0.9996008978431499,27.063623740209035,"'df_centrifuge_wash' (kilogram, Salar de Atacama, None)"
2,0.9995966261575039,27.063508086758436,"'df_washing_BG' (kilogram, Salar de Atacama, None)"
3,0.9908183956879869,26.82584250738125,"'df_centrifuge_BG' (kilogram, Salar de Atacama, None)"
4,0.9907902064059919,26.825079298661585,"'df_Liprec_BG' (kilogram, Salar de Atacama, None)"
5,0.9905796872142426,26.819379611708634,"'df_dissolution' (kilogram, Salar de Atacama, None)"
6,0.9063384443260808,24.538596045135133,"'df_washing_TG' (kilogram, Salar de Atacama, None)"
7,0.8975602147830014,24.300930490840717,"'df_centrifuge_TG' (kilogram, Salar de Atacama, None)"
8,0.8975350044098035,24.300247934376383,"'df_Liprec_TG' (kilogram, Salar de Atacama, None)"
9,0.841907407344572,22.7941624958841,"'df_centrifuge_purification_quicklime' (kilogram, Salar de Atacama, None)"
10,0.8418633051132569,22.79296845314465,"'df_Mg_removal_quicklime' (kilogram, Salar de Atacama, None)"
11,0.841856321950859,22.792779388008693,"'df_centrifuge_purification_sodaash' (kilogram, Salar de Atacama, None)"
12,0.8408116653783115,22.764495907593496,"'df_Mg_removal_sodaash' (kilogram, Salar de Atacama, None)"
13,0.8345521261004737,22.5950224545704,"'df_centrifuge_purification_general' (kilogram, Salar de Atacama, None)"
14,0.8341095174008972,22.583039076668953,"'df_B_removal_orgsolvent' (kilogram, Salar de Atacama, None)"
15,0.8253233427992692,22.345158414449347,"'df_transport_brine' (kilogram, Salar de Atacama, None)"
16,0.8251019908014838,22.339165435456298,"'df_evaporation_ponds' (kilogram, Salar de Atacama, None)"
17,0.2673668673704874,7.238805321930245,"'Water_Ata' (kilogram, Salar de Atacama, None)"
17,0.10516415642851028,2.8472595079484218,"'market for sulfuric acid' (kilogram, RoW, None)"
18,0.0890359812464967,2.410598370804582,"'sulfuric acid production' (kilogram, RoW, None)"
17,0.4489214839278422,12.154292934444545,"'waste_liquid_Ata' (cubic meter, Salar de Atacama, None)"
9,0.018120788830547716,0.4906100143006056,"'market for soda ash, light' (kilogram, GLO, None)"
10,0.016463978176116858,0.44575281153394486,"'soda production, solvay process' (kilogram, RoW, None)"
9,0.037453510889081165,1.014032428981437,"'Water_Ata' (kilogram, Salar de Atacama, None)"
6,0.08424127340630674,2.2807843928348537,"'Water_Ata' (kilogram, Salar de Atacama, None)"
