Level,Fraction,Score,Description
0,1.0,5.104341062602926,"'df_rotary_dryer' (kilogram, Salar de Atacama, None)"
1,0.9978805276237672,5.093522552721868,"'df_centrifuge_wash' (kilogram, Salar de Atacama, None)"
2,0.9978577110343162,5.093406089067425,"'df_washing_BG' (kilogram, Salar de Atacama, None)"
3,0.9884013942265611,5.045137822884619,"'df_centrifuge_BG' (kilogram, Salar de Atacama, None)"
4,0.9882518727819042,5.044374614434917,"'df_Liprec_BG' (kilogram, Salar de Atacama, None)"
5,0.9871289237265788,5.038642699460608,"'df_dissolution' (kilogram, Salar de Atacama, None)"
6,0.897081486932862,4.579009870252298,"'df_washing_TG' (kilogram, Salar de Atacama, None)"
7,0.887625171126228,4.530741609179555,"'df_centrifuge_TG' (kilogram, Salar de Atacama, None)"
8,0.8885573027589835,4.53549952694838,"'df_Liprec_TG' (kilogram, Salar de Atacama, None)"
9,0.7693188496205717,3.9268657943527296,"'df_centrifuge_purification_quicklime' (kilogram, Salar de Atacama, None)"
10,0.7682877263223703,3.9216025893611137,"'df_Mg_removal_quicklime' (kilogram, Salar de Atacama, None)"
11,0.768124959956278,3.9207717743150585,"'df_centrifuge_purification_sodaash' (kilogram, Salar de Atacama, None)"
12,0.7632849349392776,3.8960666358767577,"'df_Mg_removal_sodaash' (kilogram, Salar de Atacama, None)"
13,0.7344977007129918,3.7491267741367587,"'df_centrifuge_purification_general' (kilogram, Salar de Atacama, None)"
14,0.7324470917425566,3.7386597665656245,"'df_B_removal_orgsolvent' (kilogram, Salar de Atacama, None)"
15,0.6994285937571598,3.5701220914732916,"'df_transport_brine' (kilogram, Salar de Atacama, None)"
16,0.6984053394300471,3.5648990523939244,"'df_evaporation_ponds' (kilogram, Salar de Atacama, None)"
17,0.061855463884624075,0.31573138425263897,"'Water_Ata' (kilogram, Salar de Atacama, None)"
17,0.1207746905842571,0.6164752124723866,"'market for sulfuric acid' (kilogram, RoW, None)"
18,0.10223401726627553,0.5218372923271067,"'sulfuric acid production' (kilogram, RoW, None)"
17,0.5153636841465017,2.6305920151633133,"'waste_liquid_Ata' (cubic meter, Salar de Atacama, None)"
15,0.012598775305741414,0.06430844613160364,"'market for hydrochloric acid, without water, in 30% solution state' (kilogram, RoW, None)"
15,0.01197188349277389,0.06110857650886391,"'sodium hydroxide to generic market for neutralising agent' (kilogram, GLO, None)"
16,0.01197188349277389,0.06110857650886391,"'market for sodium hydroxide, without water, in 50% solution state' (kilogram, GLO, None)"
13,0.028787257030331293,0.14693997813962478,"'market for soda ash, light' (kilogram, GLO, None)"
14,0.026156041145714157,0.13350935485520046,"'soda production, solvay process' (kilogram, RoW, None)"
9,0.08333625207658757,0.42537665347795434,"'market for soda ash, light' (kilogram, GLO, None)"
10,0.07571914322883076,0.3864963320080332,"'soda production, solvay process' (kilogram, RoW, None)"
9,0.03465955692919423,0.17691419964530988,"'Water_Ata' (kilogram, Salar de Atacama, None)"
6,0.09004746707804483,0.45963298378984935,"'Water_Ata' (kilogram, Salar de Atacama, None)"
