Level,Fraction,Score,Description
0,1.0,56.230766024948366,"'df_rotary_dryer' (kilogram, Salar de Cauchari-Olaroz, None)"
1,0.9946221443391816,55.92836508156894,"'df_centrifuge_wash' (kilogram, Salar de Cauchari-Olaroz, None)"
2,0.9945957625259169,55.92688161199994,"'df_washing_BG' (kilogram, Salar de Cauchari-Olaroz, None)"
3,0.9934045702106588,55.85989995562994,"'df_centrifuge_BG' (kilogram, Salar de Cauchari-Olaroz, None)"
4,0.9932556521807523,55.85152618073338,"'df_Liprec_BG' (kilogram, Salar de Cauchari-Olaroz, None)"
5,0.9815365726885226,55.19255336377804,"'df_centrifuge_purification_general' (kilogram, Salar de Cauchari-Olaroz, None)"
6,0.9770152954371718,54.938318480523414,"'df_dissolution' (kilogram, Salar de Cauchari-Olaroz, None)"
7,0.9760337518099494,54.88312553047779,"'df_centrifuge_TG' (kilogram, Salar de Cauchari-Olaroz, None)"
8,0.9760073664173295,54.881641859638904,"'df_washing_TG' (kilogram, Salar de Cauchari-Olaroz, None)"
9,0.9748161831986681,54.81466071477751,"'df_Liprec_TG' (kilogram, Salar de Cauchari-Olaroz, None)"
10,0.8486749293036647,47.721641380913965,"'df_triple_evaporator' (kilogram, Salar de Cauchari-Olaroz, None)"
11,0.6677337537032949,37.547180471450474,"'df_ion_exchange_H' (kilogram, Salar de Cauchari-Olaroz, None)"
12,0.4863024421569631,27.34515884228918,"'df_sulfate_removal_calciumchloride' (kilogram, Salar de Cauchari-Olaroz, None)"
13,0.4470376979393099,25.13727219715688,"'df_centrifuge_purification_quicklime' (kilogram, Salar de Cauchari-Olaroz, None)"
14,0.424896676980901,23.89226562809111,"'df_Mg_removal_quicklime' (kilogram, Salar de Cauchari-Olaroz, None)"
15,0.37653286349565795,21.172731347928163,"'df_centrifuge_purification_sodaash' (kilogram, Salar de Cauchari-Olaroz, None)"
16,0.3759573266940614,21.140368472698842,"'df_Mg_removal_sodaash' (kilogram, Salar de Cauchari-Olaroz, None)"
17,0.37535537404972835,21.10652021439725,"'df_B_removal_orgsolvent' (kilogram, Salar de Cauchari-Olaroz, None)"
18,0.2739196199363558,15.402710058284004,"'df_evaporation_ponds' (kilogram, Salar de Cauchari-Olaroz, None)"
19,0.017856462055587174,1.0040825398810909,"'machine operation, diesel, >= 74.57 kW, high load factor' (hour, Salar de Cauchari-Olaroz, None)"
19,0.246683430428109,13.871198258634626,"'market for quicklime, milled, packed' (kilogram, RoW, None)"
20,0.24132964474294247,13.570150788424309,"'quicklime production, milled, packed' (kilogram, RoW, None)"
21,0.23751801073720608,13.355819688475009,"'quicklime production, milled, loose' (kilogram, RoW, None)"
22,0.2354663073073482,13.240450832958086,"'quicklime production, in pieces, loose' (kilogram, RoW, None)"
18,0.08917147662444457,5.014180438168295,"'market for hydrochloric acid, without water, in 30% solution state' (kilogram, RoW, None)"
19,0.06185490505987237,3.478148693917078,"'hydrochloric acid production, from the reaction of hydrogen with chlorine' (kilogram, RoW, None)"
20,0.042826413720578244,2.4081620496094738,"'market for chlorine, liquid' (kilogram, RoW, None)"
21,0.041712849707028245,2.3455454921097414,"'chlorine production, liquid' (kilogram, RoW, None)"
22,0.0395446279557228,2.223624722121881,"'market for chlorine, gaseous' (kilogram, RoW, None)"
23,0.03085355286965081,1.7349189124517088,"'chlor-alkali electrolysis, membrane cell' (kilogram, RoW, None)"
24,0.018997651791593084,1.068252512916512,"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)"
25,0.011400143235212294,0.6410387869101204,"'market group for electricity, medium voltage' (kilowatt hour, CN, None)"
26,0.010109238647511627,0.5684502330785918,"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)"
20,0.010628078597912037,0.597625000933953,"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)"
19,0.015117090818524566,0.85004559679435,"'Mannheim process' (kilogram, RoW, None)"
18,0.09781058767575465,5.499964270358058,"'market for solvent, organic' (kilogram, GLO, None)"
19,0.04131072262095281,2.322933578020339,"'heptane to generic market for solvent, organic' (kilogram, GLO, None)"
20,0.04131072262095281,2.322933578020339,"'market for heptane' (kilogram, GLO, None)"
21,0.0131735859932616,0.74076083169663,"'molecular sieve separation of naphtha' (kilogram, RER, None)"
21,0.026481948917399304,1.489100273458915,"'molecular sieve separation of naphtha' (kilogram, RoW, None)"
22,0.013908122822781963,0.782064400294097,"'market for naphtha' (kilogram, RoW, None)"
23,0.013152980660577933,0.7396021780556286,"'naphtha production, petroleum refinery operation' (kilogram, RoW, None)"
19,0.02336906786495093,1.3140605873351954,"'methylcyclopentane to generic market for solvent, organic' (kilogram, GLO, None)"
20,0.02336906786495093,1.3140605873351954,"'market for methylcyclopentane' (kilogram, GLO, None)"
21,0.015143741601070803,0.8515441907120893,"'molecular sieve separation of naphtha' (kilogram, RoW, None)"
19,0.019162074182038084,1.0774981098828873,"'2-methylpentane to generic market for solvent, organic' (kilogram, GLO, None)"
20,0.019162074182038084,1.0774981098828873,"'market for 2-methylpentane' (kilogram, GLO, None)"
21,0.012417504268048135,0.6982457771104124,"'molecular sieve separation of naphtha' (kilogram, RoW, None)"
18,0.0599219179600768,3.36945534857923,"'sodium hydroxide to generic market for neutralising agent' (kilogram, GLO, None)"
19,0.0599219179600768,3.36945534857923,"'market for sodium hydroxide, without water, in 50% solution state' (kilogram, GLO, None)"
20,0.01065666134562523,0.5992322307329637,"'chlor-alkali electrolysis, diaphragm cell' (kilogram, RoW, None)"
20,0.040272230492939896,2.2645383701512944,"'chlor-alkali electrolysis, membrane cell' (kilogram, RoW, None)"
