Level,Fraction,Score,Description
0,1.0,12.403901773488988,"'df_rotary_dryer' (kilogram, Salar de Cauchari-Olaroz, None)"
1,0.9975414939756171,12.37340670625301,"'df_centrifuge_wash' (kilogram, Salar de Cauchari-Olaroz, None)"
2,0.9975123762408359,12.373045532730918,"'df_washing_BG' (kilogram, Salar de Cauchari-Olaroz, None)"
3,0.9971601469943316,12.36867651575553,"'df_centrifuge_BG' (kilogram, Salar de Cauchari-Olaroz, None)"
4,0.9969958011765662,12.366637986375084,"'df_Liprec_BG' (kilogram, Salar de Cauchari-Olaroz, None)"
5,0.9965866998363188,12.361563533535252,"'df_centrifuge_purification_general' (kilogram, Salar de Cauchari-Olaroz, None)"
6,0.9942046240066518,12.33201649892706,"'df_dissolution' (kilogram, Salar de Cauchari-Olaroz, None)"
7,0.9911834421877207,12.294542056405188,"'df_centrifuge_TG' (kilogram, Salar de Cauchari-Olaroz, None)"
8,0.9911565254503806,12.294208183839158,"'df_washing_TG' (kilogram, Salar de Cauchari-Olaroz, None)"
9,0.990804305325118,12.289839280002756,"'df_Liprec_TG' (kilogram, Salar de Cauchari-Olaroz, None)"
10,0.9379440973611322,11.634166452691275,"'df_triple_evaporator' (kilogram, Salar de Cauchari-Olaroz, None)"
11,0.9182715111840949,11.390149626120808,"'df_ion_exchange_H' (kilogram, Salar de Cauchari-Olaroz, None)"
12,0.7152241938308567,8.871570646300794,"'df_sulfate_removal_calciumchloride' (kilogram, Salar de Cauchari-Olaroz, None)"
13,0.41654505717370677,5.166783973415013,"'df_centrifuge_purification_quicklime' (kilogram, Salar de Cauchari-Olaroz, None)"
14,0.4048799437121171,5.022091051860851,"'df_Mg_removal_quicklime' (kilogram, Salar de Cauchari-Olaroz, None)"
15,0.4030802447755858,4.999767763030264,"'df_centrifuge_purification_sodaash' (kilogram, Salar de Cauchari-Olaroz, None)"
16,0.40277703238597895,4.996006746333076,"'df_Mg_removal_sodaash' (kilogram, Salar de Cauchari-Olaroz, None)"
17,0.40100732613541995,4.9740554838332125,"'df_B_removal_orgsolvent' (kilogram, Salar de Cauchari-Olaroz, None)"
18,0.06562639102585906,0.8140233080333349,"'df_evaporation_ponds' (kilogram, Salar de Cauchari-Olaroz, None)"
19,0.051892422671637954,0.6436685136073702,"'market for sulfuric acid' (kilogram, RoW, None)"
20,0.04393080440284079,0.5449133826431948,"'sulfuric acid production' (kilogram, RoW, None)"
18,0.14974622684396605,1.8574374887231548,"'market for hydrochloric acid, without water, in 30% solution state' (kilogram, RoW, None)"
19,0.09319371016153369,1.1559656267506664,"'hydrochloric acid production, from the reaction of hydrogen with chlorine' (kilogram, RoW, None)"
20,0.082525157308322,1.023633945094153,"'market for chlorine, liquid' (kilogram, RoW, None)"
21,0.08234698702611917,1.0214239384147543,"'chlorine production, liquid' (kilogram, RoW, None)"
22,0.08167119882066788,1.013041527894654,"'market for chlorine, gaseous' (kilogram, RoW, None)"
23,0.028819815660943,0.3574781625883966,"'chlor-alkali electrolysis, diaphragm cell' (kilogram, RoW, None)"
23,0.05216530528203827,0.647053322702469,"'chlor-alkali electrolysis, membrane cell' (kilogram, RoW, None)"
19,0.043511531847226025,0.5397127670470294,"'Mannheim process' (kilogram, RoW, None)"
20,0.01772742834443204,0.2198892798808995,"'market for sulfuric acid' (kilogram, RoW, None)"
