Level,Fraction,Score,Description
0,1.0,39.268248300986755,"'df_rotary_dryer' (kilogram, Fenix, None)"
1,0.9923018399354039,38.965955040109456,"'df_centrifuge_wash' (kilogram, Fenix, None)"
2,0.992263622472638,38.96445430729213,"'df_washing_BG' (kilogram, Fenix, None)"
3,0.9907089572124316,38.903405325829425,"'df_centrifuge_BG' (kilogram, Fenix, None)"
4,0.9904600629379245,38.89363168365739,"'df_Liprec_BG' (kilogram, Fenix, None)"
5,0.9730474709463439,38.20986969776823,"'df_dissolution' (kilogram, Fenix, None)"
6,0.9716425147731511,38.15469952990729,"'df_washing_TG' (kilogram, Fenix, None)"
7,0.9700878497177969,38.093650556488775,"'df_centrifuge_TG' (kilogram, Fenix, None)"
8,0.9698425765839355,38.08401911016674,"'df_Liprec_TG' (kilogram, Fenix, None)"
9,0.9409246445781216,36.94846257581139,"'df_DLE_evaporation_ponds' (kilogram, Fenix, None)"
10,0.940842225547065,36.94522612483513,"'df_ion_exchange_L' (kilogram, Fenix, None)"
11,0.9397408813289344,36.90197826661272,"'df_triple_evaporator' (kilogram, Fenix, None)"
12,0.9220317113696748,36.20657018344814,"'df_Li_adsorption' (kilogram, Fenix, None)"
13,0.21048992174124906,8.265570511790639,"'df_evaporation_ponds' (kilogram, Fenix, None)"
14,0.017261380518330722,0.6778241762116263,"'Water_Fen' (kilogram, Fenix, None)"
15,0.017261380705155763,0.6778241835479184,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
14,0.1900896309941485,7.464486829321171,"'market for sulfuric acid' (kilogram, RoW, None)"
15,0.06448563069303499,2.5322377578998307,"'sulfuric acid production' (kilogram, RoW, None)"
16,0.017462422040392694,0.685718724618764,"'market for chemical factory, organics' (unit, GLO, None)"
17,0.012283304094686514,0.48234383514667734,"'chemical factory construction, organics' (unit, RoW, None)"
16,0.015278626199345407,0.599964887293857,"'market group for electricity, low voltage' (kilowatt hour, RAS, None)"
16,0.02698505942327684,1.0596560138501174,"'market for sulfur' (kilogram, GLO, None)"
17,0.01614369134850435,0.6339344803675605,"'sulfur production, petroleum refinery operation' (kilogram, RoW, None)"
15,0.016620707450119614,0.6526660670893574,"'primary zinc production from concentrate' (kilogram, RoW, None)"
15,0.011615701777970593,0.4561282616075626,"'smelting of copper concentrate, sulfide ore' (kilogram, CN, None)"
15,0.030056284922824198,1.1802576593546652,"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)"
16,0.01251972055439111,0.49162749538879763,"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)"
13,0.05509609783576267,2.1635272502301874,"'market for cationic resin' (kilogram, RoW, None)"
14,0.05239629243188703,2.057510621266453,"'cationic resin production' (kilogram, RoW, None)"
15,0.035668003600363006,1.4006200217795441,"'market for polystyrene, general purpose' (kilogram, GLO, None)"
16,0.027109182335547485,1.0645301031890027,"'polystyrene production, general purpose' (kilogram, RoW, None)"
13,0.6564457077150991,25.77747304667349,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Fenix, None)"
14,0.05079372406875206,1.994580568863563,"'market for natural gas, high pressure' (cubic meter, RoW, None)"
15,0.01453951074988513,0.5709411183013554,"'natural gas, high pressure, import from QA' (cubic meter, RoW, None)"
16,0.010760701597239752,0.42255390221323536,"'evaporation of natural gas, import from QA' (cubic meter, RoW, None)"
14,0.03357771360504962,1.3185379952225094,"'market for natural gas, high pressure' (cubic meter, US, None)"
15,0.028954886240668803,1.1370076624254075,"'natural gas, high pressure, domestic supply with seasonal storage' (cubic meter, US, None)"
16,0.027483064863334163,1.0792118151255305,"'petroleum and gas production, onshore' (cubic meter, US, None)"
17,0.012878105320291485,0.5057006373634646,"'market for natural gas, vented' (cubic meter, GLO, None)"
18,0.012878105320291485,0.5057006373634646,"'natural gas venting from petroleum/natural gas production' (cubic meter, GLO, None)"
12,0.015400585549066892,0.6047540173213471,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Fenix, None)"
9,0.022923725537806763,0.9001745464022671,"'market for soda ash, light' (kilogram, GLO, None)"
10,0.017635029193164092,0.6924967051523178,"'soda production, solvay process' (kilogram, RoW, None)"
11,0.01138623999485594,0.4471176993326292,"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)"
12,0.010076557668453447,0.3956887685440421,"'heat production, at hard coal industrial furnace 1-10MW' (megajoule, RoW, None)"
5,0.017412572145311982,0.6837612065609565,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Fenix, None)"
