Level,Fraction,Score,Description
0,1.0,6.980387915494664e-07,"'df_rotary_dryer' (kilogram, Salar del Hombre Muerto North, None)"
1,0.9973762477766527,6.962073107181558e-07,"'df_centrifuge_wash' (kilogram, Salar del Hombre Muerto North, None)"
2,0.9973594620973895,6.961955936628876e-07,"'df_washing_BG' (kilogram, Salar del Hombre Muerto North, None)"
3,0.9968784019627759,6.958597950278593e-07,"'df_centrifuge_BG' (kilogram, Salar del Hombre Muerto North, None)"
4,0.9967689490527208,6.957833926507929e-07,"'df_Liprec_BG' (kilogram, Salar del Hombre Muerto North, None)"
5,0.9916403851673049,6.922034561138329e-07,"'df_dissolution' (kilogram, Salar del Hombre Muerto North, None)"
6,0.9910226233544125,6.917722344044961e-07,"'df_washing_TG' (kilogram, Salar del Hombre Muerto North, None)"
7,0.9905415748361038,6.914364438780993e-07,"'df_centrifuge_purification_general' (kilogram, Salar del Hombre Muerto North, None)"
8,0.3316342924985357,2.3149360077204012e-07,"'df_Liprec_TG' (kilogram, Salar del Hombre Muerto North, None)"
9,0.15735570800868384,1.0984038826179235e-07,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Salar del Hombre Muerto North, None)"
10,0.03921671511918792,2.7374788430337627e-08,"'market group for electricity, low voltage' (kilowatt hour, RAS, None)"
11,0.0267007232763162,1.863814060929647e-08,"'market group for electricity, low voltage' (kilowatt hour, CN, None)"
12,0.021312722438016758,1.4877107015262415e-08,"'market group for electricity, low voltage' (kilowatt hour, CN-SGCC, None)"
10,0.05031152770254828,3.51193979984943e-08,"'market for natural gas, high pressure' (cubic meter, RoW, None)"
11,0.015537057551757827,1.0845468877663544e-08,"'natural gas, high pressure, import from QA' (cubic meter, RoW, None)"
12,0.014287182679231548,9.973007732057257e-09,"'evaporation of natural gas, import from QA' (cubic meter, RoW, None)"
11,0.010606760060475786,7.403929974869663e-09,"'natural gas, high pressure, import from MY' (cubic meter, GLO, None)"
10,0.021716340213368327,1.515884787941671e-08,"'market for natural gas, high pressure' (cubic meter, US, None)"
11,0.019922076226570915,1.3906382014351914e-08,"'natural gas, high pressure, domestic supply with seasonal storage' (cubic meter, US, None)"
12,0.018821940703563408,1.3138444743331115e-08,"'petroleum and gas production, onshore' (cubic meter, US, None)"
9,0.17394943498119989,1.2142345338498925e-07,"'market for soda ash, light' (kilogram, GLO, None)"
10,0.08070747657568293,5.633694941789658e-08,"'soda production, solvay process' (kilogram, RoW, None)"
