Level,Fraction,Score,Description
0,1.0,64.70620264917542,"'df_rotary_dryer' (kilogram, Maricunga, None)"
1,0.9945236905070269,64.3518514573535,"'df_centrifuge_wash' (kilogram, Maricunga, None)"
2,0.9944902212647218,64.34968578977839,"'df_washing_BG' (kilogram, Maricunga, None)"
3,0.9932925213842171,64.27218717859756,"'df_centrifuge_BG' (kilogram, Maricunga, None)"
4,0.9930745201419846,64.2580811460399,"'df_Liprec_BG' (kilogram, Maricunga, None)"
5,0.9800295378122148,63.4139898758549,"'df_dissolution' (kilogram, Maricunga, None)"
6,0.9788051059644169,63.334761540581184,"'df_washing_TG' (kilogram, Maricunga, None)"
7,0.9776074062397315,63.25726293948283,"'df_centrifuge_TG' (kilogram, Maricunga, None)"
8,0.9580234425001339,61.99005901307432,"'df_Liprec_TG' (kilogram, Maricunga, None)"
9,0.2569206040494566,16.6243566703727,"'df_ion_exchange_H' (kilogram, Maricunga, None)"
10,-0.014701392860374156,-0.9512713056485109,"'df_centrifuge_purification_quicklime' (kilogram, Maricunga, None)"
11,-0.016277047049843143,-1.0532259049373134,"'df_Mg_removal_quicklime' (kilogram, Maricunga, None)"
12,-0.08781785092358761,-5.682359658076737,"'df_centrifuge_purification_sodaash' (kilogram, Maricunga, None)"
13,-0.09078200184013731,-5.874158607965741,"'df_Mg_removal_sodaash' (kilogram, Maricunga, None)"
14,-0.15456563115612335,-10.00135505218582,"'df_centrifuge_purification_general' (kilogram, Maricunga, None)"
15,-0.15777287398921525,-10.20888355688898,"'df_B_removal_orgsolvent' (kilogram, Maricunga, None)"
16,0.02068090449621398,1.338182797300265,"'df_evaporation_ponds' (kilogram, Maricunga, None)"
17,0.017163620403013776,1.1105926999909315,"'market for sulfuric acid' (kilogram, RoW, None)"
16,0.2477721940016448,16.032397795901236,"'market for solvent, organic' (kilogram, GLO, None)"
17,0.10465092990634978,6.771564277944922,"'heptane to generic market for solvent, organic' (kilogram, GLO, None)"
18,0.10465092990634978,6.771564277944922,"'market for heptane' (kilogram, GLO, None)"
19,0.03343591433647697,2.1635110488165488,"'molecular sieve separation of naphtha' (kilogram, RER, None)"
20,0.022878254701656928,1.4803649849848637,"'market for naphtha' (kilogram, RER, None)"
