Level,Fraction,Score,Description
0,1.0,59.35634678950525,"'df_rotary_dryer' (kilogram, Maricunga, None)"
1,0.9998179560624099,59.345541326414725,"'df_centrifuge_wash' (kilogram, Maricunga, None)"
2,0.9998159884901606,59.34542453851397,"'df_washing_BG' (kilogram, Maricunga, None)"
3,0.9992636552674817,59.312640056205275,"'df_centrifuge_BG' (kilogram, Maricunga, None)"
4,0.9992506114556653,59.31186582318764,"'df_Liprec_BG' (kilogram, Maricunga, None)"
5,0.9991412940535929,59.3053771415601,"'df_dissolution' (kilogram, Maricunga, None)"
6,0.9939167555152818,58.995267620264976,"'df_washing_TG' (kilogram, Maricunga, None)"
7,0.9933644223512071,58.96248314143482,"'df_centrifuge_TG' (kilogram, Maricunga, None)"
8,0.9923556568985001,58.902606509394666,"'df_Liprec_TG' (kilogram, Maricunga, None)"
9,0.9739143757732052,57.8079994316789,"'df_ion_exchange_H' (kilogram, Maricunga, None)"
10,0.1281595932661049,7.6070852623048655,"'df_centrifuge_purification_quicklime' (kilogram, Maricunga, None)"
11,0.12809070683096052,7.602996415171342,"'df_Mg_removal_quicklime' (kilogram, Maricunga, None)"
12,0.12745222493170585,7.5650984621403605,"'df_centrifuge_purification_sodaash' (kilogram, Maricunga, None)"
13,0.12732263039380307,7.557406203806577,"'df_Mg_removal_sodaash' (kilogram, Maricunga, None)"
14,0.08176154672309548,4.853066721342392,"'df_centrifuge_purification_general' (kilogram, Maricunga, None)"
15,0.08162132556599237,4.844743705714154,"'df_B_removal_orgsolvent' (kilogram, Maricunga, None)"
16,0.04071792512050216,2.4168672840016336,"'df_evaporation_ponds' (kilogram, Maricunga, None)"
17,0.027678025335218185,1.642866470245923,"'market for sulfuric acid' (kilogram, RoW, None)"
18,0.023433270692013612,1.3909133416075097,"'sulfuric acid production' (kilogram, RoW, None)"
16,0.044289676773587486,2.628873413768155,"'market for solvent, organic' (kilogram, GLO, None)"
17,0.018464039945452735,1.0959579581375702,"'heptane to generic market for solvent, organic' (kilogram, GLO, None)"
18,0.018464039945452735,1.0959579581375702,"'market for heptane' (kilogram, GLO, None)"
19,0.015579638027288428,0.9247503976026954,"'molecular sieve separation of naphtha' (kilogram, RoW, None)"
17,0.010535600024141558,0.6253547286684662,"'methylcyclopentane to generic market for solvent, organic' (kilogram, GLO, None)"
18,0.010535600024141558,0.6253547286684662,"'market for methylcyclopentane' (kilogram, GLO, None)"
16,-0.010662384192752786,-0.6328801737479735,"'treatment of spent solvent mixture, hazardous waste incineration' (kilogram, RoW, None)"
14,0.04556108723143634,2.7043396938160353,"'market for soda ash, light' (kilogram, GLO, None)"
15,0.04139536931162659,2.457077896340551,"'soda production, solvay process' (kilogram, RoW, None)"
10,0.8287241867210655,49.19004021986627,"'Water_Mari' (kilogram, Maricunga, None)"
11,0.011603873415804818,0.6887635345700317,"'market for electricity, high voltage' (kilowatt hour, CL, None)"
