Level,Fraction,Score,Description
0,1.0,2.404512001122213,"'df_rotary_dryer' (kilogram, Salar de Olaroz, None)"
1,0.987318380960228,2.374018895947421,"'df_centrifuge_wash' (kilogram, Salar de Olaroz, None)"
2,0.9871669193270034,2.373654704632623,"'df_washing_BG' (kilogram, Salar de Olaroz, None)"
3,0.9853607857264512,2.3693118347144653,"'df_centrifuge_BG' (kilogram, Salar de Olaroz, None)"
4,0.984506544026379,2.367257800294783,"'df_Liprec_BG' (kilogram, Salar de Olaroz, None)"
5,0.9825042590057382,2.362443281932985,"'df_ion_exchange_L' (kilogram, Salar de Olaroz, None)"
6,0.9631490245853248,2.315903388484567,"'df_ion_exchange_H_second' (kilogram, Salar de Olaroz, None)"
7,0.9338120261985733,2.24536222378672,"'df_dissolution' (kilogram, Salar de Olaroz, None)"
8,0.9190064510325702,2.2097620406165484,"'df_centrifuge_TG' (kilogram, Salar de Olaroz, None)"
9,0.9188625594043112,2.2094160514695385,"'df_washing_TG' (kilogram, Salar de Olaroz, None)"
10,0.9171467562561993,2.2052903822083403,"'df_Liprec_TG' (kilogram, Salar de Olaroz, None)"
11,0.6577215855326376,1.581499445810357,"'df_centrifuge_purification_general' (kilogram, Salar de Olaroz, None)"
12,0.6507364884985554,1.5647036961629033,"'df_evaporation_ponds' (kilogram, Salar de Olaroz, None)"
13,0.024104182986974317,0.05795879726942561,"'Water_Ola' (kilogram, Salar de Olaroz, None)"
13,0.5771033989412838,1.387652048642737,"'market for sulfuric acid' (kilogram, RoW, None)"
14,0.4885736762265593,1.1747812679191603,"'sulfuric acid production' (kilogram, RoW, None)"
14,0.016550447812636235,0.03979575038943071,"'primary zinc production from concentrate' (kilogram, RoW, None)"
14,0.036773843233549104,0.08842314738245571,"'cobalt production' (kilogram, GLO, None)"
15,0.036135513164780975,0.08688827507142557,"'market for electricity, medium voltage, cobalt industry' (kilowatt hour, GLO, None)"
16,0.03595352304949972,0.08645067765514618,"'electricity voltage transformation from high to medium voltage, cobalt industry' (kilowatt hour, GLO, None)"
17,0.03595352176974292,0.08645067457795559,"'market for electricity, high voltage, cobalt industry' (kilowatt hour, GLO, None)"
18,0.034743342372521656,0.08354078369382623,"'electricity production, cobalt industry' (kilowatt hour, GLO, None)"
19,0.032343916271873135,0.07777133483901098,"'electricity production, hydro, reservoir, alpine region' (kilowatt hour, RoW, None)"
13,0.04763691209506778,0.11454352682899437,"'waste_liquid_Ola' (cubic meter, Salar de Olaroz, None)"
11,0.019155174129117047,0.046058846077047674,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Salar de Olaroz, None)"
11,0.23238170426781476,0.5587645967531936,"'market for soda ash, light' (kilogram, GLO, None)"
12,0.21113656487881655,0.5076804041268331,"'soda production, solvay process' (kilogram, RoW, None)"
13,0.010390925978974055,0.024985106219215694,"'market for sodium chloride, brine solution' (kilogram, GLO, None)"
12,0.02048670736789603,0.04926053372958487,"'soda production, solvay process' (kilogram, RER, None)"
8,0.014805557574885497,0.03560014087211807,"'Water_Ola' (kilogram, Salar de Olaroz, None)"
7,0.02394058659858984,0.057565427790214896,"'Water_Ola' (kilogram, Salar de Olaroz, None)"
6,0.017556430172299214,0.042214647046157586,"'Water_Ola' (kilogram, Salar de Olaroz, None)"
1,0.012096313151819162,0.029085730142881638,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
