Level,Fraction,Score,Description
0,1.0,82.30818281301478,"'df_rotary_dryer' (kilogram, Salar de Pocitos, None)"
1,0.9963278468256122,82.00593455821988,"'df_centrifuge_wash' (kilogram, Salar de Pocitos, None)"
2,0.9963098437572842,82.00445275838074,"'df_washing_BG' (kilogram, Salar de Pocitos, None)"
3,0.9954198882704063,81.93120213947135,"'df_centrifuge_BG' (kilogram, Salar de Pocitos, None)"
4,0.9953025148663124,81.9215413478698,"'df_Liprec_BG' (kilogram, Salar de Pocitos, None)"
5,0.9852909987376084,81.09751164811298,"'df_dissolution' (kilogram, Salar de Pocitos, None)"
6,0.9846208319464347,81.04235143734985,"'df_washing_TG' (kilogram, Salar de Pocitos, None)"
7,0.9837308765756761,80.96910082799803,"'df_centrifuge_TG' (kilogram, Salar de Pocitos, None)"
8,0.9836152211938692,80.95958144368896,"'df_Liprec_TG' (kilogram, Salar de Pocitos, None)"
9,0.9697462105983599,79.81804838415813,"'df_DLE_evaporation_ponds' (kilogram, Salar de Pocitos, None)"
10,0.9697069077862079,79.81481344111047,"'df_ion_exchange_L' (kilogram, Salar de Pocitos, None)"
11,0.9691817374564713,79.77158762560254,"'df_triple_evaporator' (kilogram, Salar de Pocitos, None)"
12,0.9603582461596903,79.04534209089805,"'df_Li_adsorption' (kilogram, Salar de Pocitos, None)"
13,0.13058744685186038,10.748415448567776,"'df_evaporation_ponds' (kilogram, Salar de Pocitos, None)"
14,0.010693502369927593,0.8801627479754071,"'Water_Poc' (kilogram, Salar de Pocitos, None)"
15,0.010693502485666551,0.8801627575016704,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
14,0.11756287332945516,9.676386470024095,"'market for sulfuric acid' (kilogram, RoW, None)"
15,0.03985909977553204,3.280730071086688,"'sulfuric acid production' (kilogram, RoW, None)"
16,0.010784745155524645,0.8876727758526981,"'market for chemical factory, organics' (unit, GLO, None)"
16,0.01671803265194636,1.3760308877903513,"'market for sulfur' (kilogram, GLO, None)"
17,0.010001969873577573,0.8232439648446892,"'sulfur production, petroleum refinery operation' (kilogram, RoW, None)"
15,0.010291718159720582,0.8470926197503058,"'primary zinc production from concentrate' (kilogram, RoW, None)"
15,0.01861130083907937,1.5318623518509602,"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)"
13,0.033318460696828776,2.742381954082831,"'market for cationic resin' (kilogram, RoW, None)"
14,0.031685446202436386,2.6079714985420788,"'cationic resin production' (kilogram, RoW, None)"
15,0.021590713293596304,1.7770923768327131,"'market for polystyrene, general purpose' (kilogram, GLO, None)"
16,0.016410134370733652,1.3506883397724827,"'polystyrene production, general purpose' (kilogram, RoW, None)"
13,0.7964523365923128,65.55454452209287,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Salar de Pocitos, None)"
14,0.06160467196062803,5.0705686018711775,"'market for natural gas, high pressure' (cubic meter, RoW, None)"
15,0.017629310736617082,1.451036530976923,"'natural gas, high pressure, import from QA' (cubic meter, RoW, None)"
16,0.013045847186468978,1.0737799751745432,"'evaporation of natural gas, import from QA' (cubic meter, RoW, None)"
17,0.010669578369016218,0.878193606934775,"'natural gas, liquefied, import from QA' (cubic meter, RoW, None)"
15,0.010751434682944637,0.8849310513859948,"'natural gas, high pressure, import from RU' (cubic meter, RoW, None)"
14,0.04073298088803077,3.352657637451074,"'market for natural gas, high pressure' (cubic meter, US, None)"
15,0.03512480612699236,2.8910589639721893,"'natural gas, high pressure, domestic supply with seasonal storage' (cubic meter, US, None)"
16,0.03333954930788424,2.744117719336857,"'petroleum and gas production, onshore' (cubic meter, US, None)"
17,0.015627008090564696,1.2862306387386602,"'market for natural gas, vented' (cubic meter, GLO, None)"
18,0.015627008090564696,1.2862306387386602,"'natural gas venting from petroleum/natural gas production' (cubic meter, GLO, None)"
17,0.010398400539861583,0.8558734525978787,"'market for sweet gas, burned in gas turbine' (megajoule, GLO, None)"
18,0.010398400539861578,0.8558734525978784,"'sweet gas, burned in gas turbine' (megajoule, GLO, None)"
9,0.01090128691301724,0.8972651161337485,"'market for soda ash, light' (kilogram, GLO, None)"
5,0.01001149648501531,0.8240280829204951,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Salar de Pocitos, None)"
