Level,Fraction,Score,Description
0,1.0,41.15433353523427,"'df_rotary_dryer' (kilogram, Pozuelos, None)"
1,0.9926557368609502,40.85208528043929,"'df_centrifuge_wash' (kilogram, Pozuelos, None)"
2,0.9926196968767381,40.85060207890842,"'df_washing_BG' (kilogram, Pozuelos, None)"
3,0.9908398063089588,40.77735186882582,"'df_centrifuge_BG' (kilogram, Pozuelos, None)"
4,0.990605079386803,40.767691838781715,"'df_Liprec_BG' (kilogram, Pozuelos, None)"
5,0.970582185172991,39.943662971965786,"'df_dissolution' (kilogram, Pozuelos, None)"
6,0.9692418268907336,39.88850142016105,"'df_washing_TG' (kilogram, Pozuelos, None)"
7,0.9674619365551917,39.81525121963602,"'df_centrifuge_TG' (kilogram, Pozuelos, None)"
8,0.9672306257568987,39.80573177789277,"'df_Liprec_TG' (kilogram, Pozuelos, None)"
9,0.9394927564568006,38.664198253159796,"'df_DLE_evaporation_ponds' (kilogram, Pozuelos, None)"
10,0.9394141989781203,38.660965272480496,"'df_ion_exchange_L' (kilogram, Pozuelos, None)"
11,0.9383638644982563,38.617739456972615,"'df_triple_evaporator' (kilogram, Pozuelos, None)"
12,0.920716999550724,37.89149449107064,"'df_Li_adsorption' (kilogram, Pozuelos, None)"
13,0.12238558279516859,5.0366970942563976,"'df_evaporation_ponds' (kilogram, Pozuelos, None)"
14,0.010021870793980236,0.41244341330248574,"'Water_Poz' (kilogram, Pozuelos, None)"
15,0.010021870902449933,0.41244341776648386,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
14,0.11017904947496178,4.534345350687656,"'market for sulfuric acid' (kilogram, RoW, None)"
15,0.03735565150648138,1.5373469415237113,"'sulfuric acid production' (kilogram, RoW, None)"
16,0.010107382853219873,0.4159626051097185,"'market for chemical factory, organics' (unit, GLO, None)"
16,0.01566801571377812,0.6448067445201164,"'market for sulfur' (kilogram, GLO, None)"
15,0.01744237256090052,0.7178292180171184,"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)"
13,0.0666365293398553,2.742381954082829,"'market for cationic resin' (kilogram, RoW, None)"
14,0.06337051956653032,2.6079714985420783,"'cationic resin production' (kilogram, RoW, None)"
15,0.043181172532201384,1.7770923768327125,"'market for polystyrene, general purpose' (kilogram, GLO, None)"
16,0.032820075645644715,1.3506883397724818,"'polystyrene production, general purpose' (kilogram, RoW, None)"
13,0.7316949161437617,30.11241662501564,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Pozuelos, None)"
14,0.05659575998879771,2.3291607832590477,"'market for natural gas, high pressure' (cubic meter, RoW, None)"
15,0.01619591838513773,0.666532227131391,"'natural gas, high pressure, import from QA' (cubic meter, RoW, None)"
16,0.01198512406149666,0.49323979308799515,"'evaporation of natural gas, import from QA' (cubic meter, RoW, None)"
14,0.037421090586126596,1.5400400432336692,"'market for natural gas, high pressure' (cubic meter, US, None)"
15,0.03226890159380772,1.3280051390072158,"'natural gas, high pressure, domestic supply with seasonal storage' (cubic meter, US, None)"
16,0.030628799256809912,1.2605078203984907,"'petroleum and gas production, onshore' (cubic meter, US, None)"
17,0.01435641763991277,0.590828799924091,"'market for natural gas, vented' (cubic meter, GLO, None)"
18,0.01435641763991277,0.590828799924091,"'natural gas venting from petroleum/natural gas production' (cubic meter, GLO, None)"
12,0.015444423913564903,0.6356049729983982,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Pozuelos, None)"
9,0.02180244555207182,0.8972651161337485,"'market for soda ash, light' (kilogram, GLO, None)"
10,0.016761209911161756,0.6897964231380254,"'soda production, solvay process' (kilogram, RoW, None)"
11,0.010817308112723013,0.4451791060243984,"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)"
5,0.02002287516611109,0.8240280829204951,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Pozuelos, None)"
