Level,Fraction,Score,Description
0,1.0,83.06614051701503,"'df_rotary_dryer' (kilogram, Salar del Rincon, None)"
1,0.9963604181805578,82.76381450217806,"'df_centrifuge_wash' (kilogram, Salar del Rincon, None)"
2,0.9963425749049505,82.76233233013919,"'df_washing_BG' (kilogram, Salar del Rincon, None)"
3,0.9954605180776506,82.6890632737787,"'df_centrifuge_BG' (kilogram, Salar del Rincon, None)"
4,0.9953441843316252,82.67939987848449,"'df_Liprec_BG' (kilogram, Salar del Rincon, None)"
5,0.9854215385500027,81.85516398968767,"'df_dissolution' (kilogram, Salar del Rincon, None)"
6,0.984757309122016,81.79998901468699,"'df_washing_TG' (kilogram, Salar del Rincon, None)"
7,0.9838752524098054,81.72671996788652,"'df_centrifuge_TG' (kilogram, Salar del Rincon, None)"
8,0.9837606216423876,81.71719803245263,"'df_Liprec_TG' (kilogram, Salar del Rincon, None)"
9,0.969956904446679,80.57057652021676,"'df_DLE_evaporation_ponds' (kilogram, Salar del Rincon, None)"
10,0.9699179126716068,80.5673376239496,"'df_ion_exchange_L' (kilogram, Salar del Rincon, None)"
11,0.9693970759031925,80.52407372375806,"'df_triple_evaporator' (kilogram, Salar del Rincon, None)"
12,0.9606518895919496,79.79764484878089,"'df_Li_adsorption' (kilogram, Salar del Rincon, None)"
13,0.7187413434078498,59.703069426904605,"'df_evaporation_ponds' (kilogram, Salar del Rincon, None)"
14,0.64308798508552,53.418836933917866,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
15,0.031150175002916836,2.587524813921899,"'electricity production, oil' (kilowatt hour, AR, None)"
15,0.03665413892508601,3.0447178544813847,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
16,0.021058414099270055,1.7492411846354567,"'electricity production, natural gas, combined cycle power plant' (kilowatt hour, AR, None)"
15,0.1441473185742916,11.973761419843036,"'electricity production, natural gas, conventional power plant' (kilowatt hour, AR, None)"
16,0.0351421469361362,2.919122515466679,"'market for natural gas, high pressure' (cubic meter, RoW, None)"
17,0.010061294200630863,0.8357528778526316,"'natural gas, high pressure, import from QA' (cubic meter, RoW, None)"
15,0.011434343131372503,0.949806753270354,"'electricity production, hydro, reservoir, tropical region' (kilowatt hour, AR, None)"
15,0.36946477231054803,30.690012692834944,"'electricity production, natural gas, combined cycle power plant' (kilowatt hour, AR, None)"
16,0.0903083304830813,7.501564469764664,"'market for natural gas, high pressure' (cubic meter, RoW, None)"
17,0.025855525657248926,2.1477187273863265,"'natural gas, high pressure, import from QA' (cubic meter, RoW, None)"
18,0.019137415841476647,1.5896712734206486,"'evaporation of natural gas, import from QA' (cubic meter, RoW, None)"
19,0.015637355711754918,1.2989347868671817,"'natural gas, liquefied, import from QA' (cubic meter, RoW, None)"
20,0.01334829267775687,1.108791155232795,"'natural gas production, liquefied' (cubic meter, QA, None)"
17,0.015755866880721555,1.3087790522814,"'natural gas, high pressure, import from RU' (cubic meter, RoW, None)"
17,0.01299893004752202,1.079770949898313,"'natural gas, high pressure, import from US' (cubic meter, RoW, None)"
18,0.010391826005321502,0.8632088791864068,"'petroleum and gas production, onshore' (cubic meter, US, None)"
14,0.0756533769999201,6.284234044462076,"'treatment of salt tailing from potash mine, residual material landfill' (kilogram, RoW, None)"
15,-0.019734226107824316,-1.6392459988670813,"'market for process-specific burdens, residual material landfill' (kilogram, RoW, None)"
16,-0.019734226107824316,-1.6392459988670811,"'process-specific burdens, residual material landfill' (kilogram, RoW, None)"
17,-0.015304084595621333,-1.2712512415041668,"'market for diesel, burned in building machine' (megajoule, GLO, None)"
18,-0.015304084595621338,-1.2712512415041672,"'diesel, burned in building machine' (megajoule, GLO, None)"
15,-0.048456830988251695,-4.025121931879363,"'market for residual material landfill' (unit, GLO, None)"
16,-0.048087732517164875,-3.99446234641545,"'residual material landfill construction' (unit, RoW, None)"
17,-0.019261085851931398,-1.5999440638868236,"'market for gravel, round' (kilogram, RoW, None)"
17,-0.012933630731159221,-1.0743467877096557,"'market for pitch' (kilogram, RoW, None)"
18,-0.012869219182360182,-1.068996368946196,"'pitch production, petroleum refinery operation' (kilogram, RoW, None)"
13,0.03307140159707338,2.7471136921571326,"'market for cationic resin' (kilogram, RoW, None)"
14,0.031451098402626866,2.61252135932707,"'cationic resin production' (kilogram, RoW, None)"
15,0.021394502237242666,1.7771587291303916,"'market for polystyrene, general purpose' (kilogram, GLO, None)"
16,0.016260516017464557,1.3506983083858846,"'polystyrene production, general purpose' (kilogram, RoW, None)"
13,0.20883916649075446,17.347463549177306,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Salar del Rincon, None)"
14,0.016163584126614134,1.3426465503199232,"'market for natural gas, high pressure' (cubic meter, RoW, None)"
14,0.010683466780293104,0.887434352780689,"'market for natural gas, high pressure' (cubic meter, US, None)"
9,0.010862331261522943,0.90229193491203,"'market for soda ash, light' (kilogram, GLO, None)"
