Level,Fraction,Score,Description
0,1.0,14.798420598535937,"'df_rotary_dryer' (kilogram, Salar del Rincon, None)"
1,0.9979381866759901,14.767909017771574,"'df_centrifuge_wash' (kilogram, Salar del Rincon, None)"
2,0.9979137802545509,14.76754784128181,"'df_washing_BG' (kilogram, Salar del Rincon, None)"
3,0.9974122737231048,14.760126336696558,"'df_centrifuge_BG' (kilogram, Salar del Rincon, None)"
4,0.9972532374930446,14.757772851673723,"'df_Liprec_BG' (kilogram, Salar del Rincon, None)"
5,0.9968212669625645,14.751380370077504,"'df_dissolution' (kilogram, Salar del Rincon, None)"
6,0.9923395034000151,14.685057347855706,"'df_washing_TG' (kilogram, Salar del Rincon, None)"
7,0.9918379969239456,14.67763584408994,"'df_centrifuge_TG' (kilogram, Salar del Rincon, None)"
8,0.9916812816614564,14.675316705721416,"'df_Liprec_TG' (kilogram, Salar del Rincon, None)"
9,0.9493544013610727,14.048945728412452,"'df_DLE_evaporation_ponds' (kilogram, Salar del Rincon, None)"
10,0.9490915892680282,14.045056524521197,"'df_ion_exchange_L' (kilogram, Salar del Rincon, None)"
11,0.9460333665752594,13.999799658829618,"'df_triple_evaporator' (kilogram, Salar del Rincon, None)"
12,0.9442080025645764,13.9727871544541,"'df_Li_adsorption' (kilogram, Salar del Rincon, None)"
13,0.8930078964933318,13.21510645012217,"'df_evaporation_ponds' (kilogram, Salar del Rincon, None)"
14,0.8791826803872376,13.010515087318534,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
15,0.05011084774528596,0.7415614014839379,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
16,0.024076900498524494,0.3563001002862651,"'electricity, high voltage, hydro, import from UY' (kilowatt hour, AR, None)"
17,0.024076900498524494,0.3563001002862651,"'electricity production, hydro, reservoir, non-alpine region' (kilowatt hour, RoW, None)"
15,0.011090928392158882,0.16412822317541106,"'electricity production, natural gas, conventional power plant' (kilowatt hour, AR, None)"
15,0.03865870685133768,0.572087803781598,"'electricity, high voltage, hydro, import from PY' (kilowatt hour, AR, None)"
16,0.03865870685133768,0.572087803781598,"'electricity production, hydro, reservoir, tropical region' (kilowatt hour, RoW, None)"
15,0.42242338471914737,6.251198917731101,"'electricity, high voltage, hydro, import from UY' (kilowatt hour, AR, None)"
16,0.42242338471914737,6.251198917731101,"'electricity production, hydro, reservoir, non-alpine region' (kilowatt hour, RoW, None)"
15,0.0619240675067539,0.9163783961370768,"'electricity production, hydro, reservoir, alpine region' (kilowatt hour, AR, None)"
15,0.05942456635886339,0.8793897268640697,"'electricity production, hydro, reservoir, non-alpine region' (kilowatt hour, AR, None)"
15,0.11002784675131644,1.6282383537772367,"'electricity production, hydro, reservoir, tropical region' (kilowatt hour, AR, None)"
15,0.02795589519024196,0.41370309523378834,"'electricity production, natural gas, combined cycle power plant' (kilowatt hour, AR, None)"
16,0.021578520243810004,0.31932801846192266,"'market for natural gas, high pressure' (cubic meter, RoW, None)"
15,0.09015451137003648,1.3341443781092903,"'electricity production, nuclear, pressure water reactor, heavy water moderated' (kilowatt hour, AR, None)"
14,0.013825241631728125,0.20459174054270207,"'treatment of salt tailing from potash mine, residual material landfill' (kilogram, RoW, None)"
15,-0.011846985244633186,-0.17531667047473104,"'market for residual material landfill' (unit, GLO, None)"
16,-0.011781224576689644,-0.17434351645166185,"'residual material landfill construction' (unit, RoW, None)"
13,0.04210898340003515,0.6231464473304881,"'market for cationic resin' (kilogram, RoW, None)"
14,0.041813386622879645,0.6187720818945691,"'cationic resin production' (kilogram, RoW, None)"
15,0.02906237372791579,0.43007723001753867,"'market for polystyrene, general purpose' (kilogram, GLO, None)"
16,0.026740533669283473,0.3957176642673683,"'polystyrene production, general purpose' (kilogram, RoW, None)"
9,0.03982638655672807,0.5893676191863394,"'market for soda ash, light' (kilogram, GLO, None)"
10,0.03618689732218293,0.5355089267296969,"'soda production, solvay process' (kilogram, RoW, None)"
