Level,Fraction,Score,Description
0,1.0,57.30542747562567,"'df_rotary_dryer' (kilogram, Salton Sea, None)"
1,0.9947782657265039,57.00619376091885,"'df_centrifuge_wash' (kilogram, Salton Sea, None)"
2,0.9947510379689968,57.0046334626357,"'df_washing_BG' (kilogram, Salton Sea, None)"
3,0.9936627198546333,56.94226692786263,"'df_centrifuge_BG' (kilogram, Salton Sea, None)"
4,0.993485227336551,56.9320956432402,"'df_Liprec_BG' (kilogram, Salton Sea, None)"
5,0.9812326453562209,56.22995619517724,"'df_dissolution' (kilogram, Salton Sea, None)"
6,0.9803171644530431,56.17749417067486,"'df_washing_TG' (kilogram, Salton Sea, None)"
7,0.9792288464820659,56.11512764411861,"'df_centrifuge_TG' (kilogram, Salton Sea, None)"
8,0.9776080994724423,56.02225004390229,"'df_Liprec_TG' (kilogram, Salton Sea, None)"
9,0.9030458852616897,51.74943048502594,"'df_triple_evaporator' (kilogram, Salton Sea, None)"
10,0.6562841398234218,37.60864317805448,"'df_reverse_osmosis' (kilogram, Salton Sea, None)"
11,0.6120376955669242,35.07308177565944,"'df_ion_exchange_L' (kilogram, Salton Sea, None)"
12,0.4615798830165899,26.451032510414976,"'df_CaMg_removal_sodiumhydrox' (kilogram, Salton Sea, None)"
13,0.4612116324224301,26.42992975269849,"'df_Li_adsorption' (kilogram, Salton Sea, None)"
14,0.40715566401406517,23.332229375448225,"'df_acidification' (kilogram, Salton Sea, None)"
15,0.3804498060785103,21.801838770347924,"'df_MnZn_removal_lime' (kilogram, Salton Sea, None)"
16,0.2569734745960623,14.725974811624184,"'df_SiFe_removal_limestone' (kilogram, Salton Sea, None)"
17,0.1611679939434757,9.235800788319924,"'market for quicklime, milled, packed' (kilogram, RoW, None)"
18,0.15767494025487744,9.03562985349949,"'quicklime production, milled, packed' (kilogram, RoW, None)"
19,0.15519096507947702,8.893284594234327,"'quicklime production, milled, loose' (kilogram, RoW, None)"
20,0.15386718337334246,8.817424717679872,"'quicklime production, in pieces, loose' (kilogram, RoW, None)"
17,0.09500958739745716,5.4445650200941,"'market for hazardous waste, for underground deposit' (kilogram, RoW, None)"
18,-0.07999738659418809,-4.584284435712835,"'treatment of hazardous waste, underground deposit' (kilogram, RoW, None)"
