Level,Fraction,Score,Description
0,1.0,3.705152019112224,"'df_rotary_dryer' (kilogram, Salton Sea, None)"
1,0.9975843970802719,3.6962018430768198,"'df_centrifuge_wash' (kilogram, Salton Sea, None)"
2,0.9975570994465783,3.696100701194223,"'df_washing_BG' (kilogram, Salton Sea, None)"
3,0.9973407013512847,3.695298913354514,"'df_centrifuge_BG' (kilogram, Salton Sea, None)"
4,0.9971626369490381,3.694639157674998,"'df_Liprec_BG' (kilogram, Salton Sea, None)"
5,0.9956415919018342,3.6890034545471897,"'df_dissolution' (kilogram, Salton Sea, None)"
6,0.9947500623395492,3.685700201989391,"'df_washing_TG' (kilogram, Salton Sea, None)"
7,0.9945336642721428,3.684898414253009,"'df_centrifuge_TG' (kilogram, Salton Sea, None)"
8,0.9929078546662431,3.6788745425090172,"'df_Liprec_TG' (kilogram, Salton Sea, None)"
9,0.8263891890123871,3.0618975722417594,"'df_triple_evaporator' (kilogram, Salton Sea, None)"
10,0.7792432087990998,2.887214548461473,"'df_reverse_osmosis' (kilogram, Salton Sea, None)"
11,0.7348832160665348,2.722854031820606,"'df_ion_exchange_L' (kilogram, Salton Sea, None)"
12,0.513327162169553,1.9019551713776672,"'df_CaMg_removal_sodiumhydrox' (kilogram, Salton Sea, None)"
13,0.510806574587763,1.892616011209649,"'df_Li_adsorption' (kilogram, Salton Sea, None)"
14,0.396661808011315,1.4696922988578291,"'df_acidification' (kilogram, Salton Sea, None)"
15,0.24204498686264114,0.8968134717901065,"'df_MnZn_removal_lime' (kilogram, Salton Sea, None)"
16,0.19272680951864168,0.7140821274250522,"'df_SiFe_removal_limestone' (kilogram, Salton Sea, None)"
17,0.020405475107257938,0.07560538729460096,"'market for quicklime, milled, packed' (kilogram, RoW, None)"
18,0.018814415340871762,0.069710268988647,"'quicklime production, milled, packed' (kilogram, RoW, None)"
19,0.01527074374778468,0.05658042703044977,"'quicklime production, milled, loose' (kilogram, RoW, None)"
20,0.013805447195363068,0.05115128055064666,"'quicklime production, in pieces, loose' (kilogram, RoW, None)"
17,0.16878680933925852,0.6253807874228636,"'market for hazardous waste, for underground deposit' (kilogram, RoW, None)"
18,-0.16139787279040563,-0.5980036542497893,"'treatment of hazardous waste, underground deposit' (kilogram, RoW, None)"
19,0.018622807102373122,0.06900033133689523,"'market for packaging film, low density polyethylene' (kilogram, GLO, None)"
20,0.01346840074535035,0.04990247221584743,"'packaging film production, low density polyethylene' (kilogram, RoW, None)"
