Level,Fraction,Score,Description
0,1.0,194.44054685289404,"'df_rotary_dryer' (kilogram, Silver Peak, None)"
1,0.9984603517701799,194.14117680912673,"'df_centrifuge_wash' (kilogram, Silver Peak, None)"
2,0.9984528148018325,194.13971131687964,"'df_washing_BG' (kilogram, Silver Peak, None)"
3,0.9981045160544174,194.0719879179641,"'df_centrifuge_BG' (kilogram, Silver Peak, None)"
4,0.9980618590765402,194.06369367185854,"'df_Liprec_BG' (kilogram, Silver Peak, None)"
5,0.9946274007552648,193.3958957177263,"'df_ion_exchange_L' (kilogram, Silver Peak, None)"
6,0.9942474225464434,193.32201254701087,"'df_ion_exchange_H_second' (kilogram, Silver Peak, None)"
7,0.9936175552115208,193.19954079796375,"'df_dissolution' (kilogram, Silver Peak, None)"
8,0.9933546689692698,193.14842505326035,"'df_centrifuge_TG' (kilogram, Silver Peak, None)"
9,0.9933475103758252,193.1470331324363,"'df_washing_TG' (kilogram, Silver Peak, None)"
10,0.9930166425466822,193.0826990108017,"'df_Liprec_TG' (kilogram, Silver Peak, None)"
11,0.17485361629935062,33.99863277245184,"'df_centrifuge_purification_general' (kilogram, Silver Peak, None)"
12,0.15406512051428894,29.956506283755367,"'df_evaporation_ponds' (kilogram, Silver Peak, None)"
13,0.01022124465491527,1.9874244002189454,"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)"
13,0.011671654281197444,2.269442841113953,"'Water_Sil' (kilogram, Silver Peak, None)"
14,0.011671654407523241,2.26944286567681,"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)"
13,0.13218102441178722,25.701350670203645,"'market for sulfuric acid' (kilogram, RoW, None)"
14,0.04488026057128556,8.726542408381142,"'sulfuric acid production' (kilogram, RoW, None)"
15,0.012168874718358261,2.3661226548219374,"'market for chemical factory, organics' (unit, GLO, None)"
15,0.010695320018124475,2.0796038730908277,"'market group for electricity, low voltage' (kilowatt hour, RAS, None)"
15,0.018714257730278756,3.638810507021401,"'market for sulfur' (kilogram, GLO, None)"
16,0.01119488471645339,2.1767395062223027,"'sulfur production, petroleum refinery operation' (kilogram, RoW, None)"
14,0.011535733986696438,2.243014424722771,"'primary zinc production from concentrate' (kilogram, RoW, None)"
14,0.020860576070374778,4.056141818790067,"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)"
12,0.0126899237951409,2.4674357222487493,"'treatment of waste gypsum, inert material landfill' (kilogram, RoW, None)"
11,0.813602816018347,158.19737646766194,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Silver Peak, None)"
12,0.06298944894722576,12.247702899261029,"'market for natural gas, high pressure' (cubic meter, RoW, None)"
13,0.018038088621123775,3.5073358156722723,"'natural gas, high pressure, import from QA' (cubic meter, RoW, None)"
14,0.013352565490055309,2.5962801357754355,"'evaporation of natural gas, import from QA' (cubic meter, RoW, None)"
15,0.010905775105604946,2.120524875388504,"'natural gas, liquefied, import from QA' (cubic meter, RoW, None)"
13,0.010987942204042122,2.136501490941944,"'natural gas, high pressure, import from RU' (cubic meter, RoW, None)"
12,0.04162622290363531,8.093825544803313,"'market for natural gas, high pressure' (cubic meter, US, None)"
13,0.0358956979212311,6.979579133470467,"'natural gas, high pressure, domestic supply with seasonal storage' (cubic meter, US, None)"
14,0.03407076151852358,6.624737501356265,"'petroleum and gas production, onshore' (cubic meter, US, None)"
15,0.015957615398875084,3.102807464625434,"'market for natural gas, vented' (cubic meter, GLO, None)"
16,0.015957615398875084,3.102807464625434,"'natural gas venting from petroleum/natural gas production' (cubic meter, GLO, None)"
15,0.010618544033322835,2.064675508620827,"'market for sweet gas, burned in gas turbine' (megajoule, GLO, None)"
16,0.010618544033322835,2.064675508620827,"'sweet gas, burned in gas turbine' (megajoule, GLO, None)"
