Level,Fraction,Score,Description
0,1.0,6.561826216837078,"'df_rotary_dryer' (kilogram, Tres Quebradas, None)"
1,0.9953535238876108,6.531336848066895,"'df_centrifuge_wash' (kilogram, Tres Quebradas, None)"
2,0.9952992135921066,6.530980473346012,"'df_washing_BG' (kilogram, Tres Quebradas, None)"
3,0.9876563752198939,6.480829496144178,"'df_centrifuge_BG' (kilogram, Tres Quebradas, None)"
4,0.9873333552467843,6.478709895216066,"'df_Liprec_BG' (kilogram, Tres Quebradas, None)"
5,0.9864715388294852,6.4730548056549315,"'df_dissolution' (kilogram, Tres Quebradas, None)"
6,0.9137208922426749,5.995677705589751,"'df_centrifuge_TG' (kilogram, Tres Quebradas, None)"
7,0.9149561278870714,6.003783107225123,"'df_washing_TG' (kilogram, Tres Quebradas, None)"
8,0.907313297633458,5.953632183296127,"'df_Liprec_TG' (kilogram, Tres Quebradas, None)"
9,0.777544855831073,5.102114219759141,"'df_centrifuge_purification_general' (kilogram, Tres Quebradas, None)"
10,0.7770463074227636,5.098842831743134,"'df_CaMg_removal_sodiumhydrox' (kilogram, Tres Quebradas, None)"
11,0.776932822256997,5.098098161807185,"'df_centrifuge_purification_sodaash' (kilogram, Tres Quebradas, None)"
12,0.7769071152078622,5.097929476618214,"'df_Mg_removal_sodaash' (kilogram, Tres Quebradas, None)"
13,0.7731218654343821,5.073091325417316,"'df_B_removal_orgsolvent' (kilogram, Tres Quebradas, None)"
14,0.7506645310991167,4.925730200215896,"'df_transport_brine' (kilogram, Tres Quebradas, None)"
15,0.7499888052198541,4.921296204425955,"'df_evaporation_ponds' (kilogram, Tres Quebradas, None)"
16,0.07413454777300024,0.4864580191502338,"'Water_TresQ' (kilogram, Tres Quebradas, None)"
16,0.13931681883402577,0.914172754271452,"'market for sulfuric acid' (kilogram, RoW, None)"
17,0.11795092634494873,0.7739734807905038,"'sulfuric acid production' (kilogram, RoW, None)"
16,0.5259719989494338,3.4513368520285987,"'waste_liquid_TresQ' (cubic meter, Tres Quebradas, None)"
9,0.08959879451742955,0.5879317188614674,"'market for soda ash, light' (kilogram, GLO, None)"
10,0.0814066435703146,0.5341762480044019,"'soda production, solvay process' (kilogram, RoW, None)"
9,0.03876098904901119,0.25434287413233647,"'Water_TresQ' (kilogram, Tres Quebradas, None)"
6,0.07275062965028467,0.4773769889306428,"'Water_TresQ' (kilogram, Tres Quebradas, None)"
