Level,Fraction,Score,Description
0,1.0,5.219353993524754,"'df_rotary_dryer' (kilogram, Salar de Atacama, None)"
1,0.9321082279030042,4.865002801702826,"'df_centrifuge_wash' (kilogram, Salar de Atacama, None)"
2,0.9317007206844308,4.862875877274175,"'df_washing_BG' (kilogram, Salar de Atacama, None)"
3,0.918562007292799,4.7943002810637845,"'df_centrifuge_BG' (kilogram, Salar de Atacama, None)"
4,0.9159104009245362,4.780460608776337,"'df_Liprec_BG' (kilogram, Salar de Atacama, None)"
5,0.7738393593022032,4.038941550320591,"'df_dissolution' (kilogram, Salar de Atacama, None)"
6,0.7586592680168065,3.9597112802480856,"'df_washing_TG' (kilogram, Salar de Atacama, None)"
7,0.7455205563441885,3.8911356930098364,"'df_centrifuge_TG' (kilogram, Salar de Atacama, None)"
8,0.7379796804457306,3.851777192274546,"'df_Liprec_TG' (kilogram, Salar de Atacama, None)"
9,0.3714446520203557,1.9387011278958561,"'df_centrifuge_purification_quicklime' (kilogram, Salar de Atacama, None)"
10,0.37094071601604817,1.9360709074992926,"'df_Mg_removal_quicklime' (kilogram, Salar de Atacama, None)"
11,0.3480600809420811,1.8166487734516,"'df_centrifuge_purification_sodaash' (kilogram, Salar de Atacama, None)"
12,0.3456946373367444,1.8043026859236284,"'df_Mg_removal_sodaash' (kilogram, Salar de Atacama, None)"
13,0.2947939683190087,1.538634075812828,"'df_centrifuge_purification_general' (kilogram, Salar de Atacama, None)"
14,0.29379178619474916,1.5334033325403347,"'df_B_removal_orgsolvent' (kilogram, Salar de Atacama, None)"
15,0.2551403477027533,1.3316677926916596,"'df_transport_brine' (kilogram, Salar de Atacama, None)"
16,0.21140891144923665,1.1034179462392943,"'df_evaporation_ponds' (kilogram, Salar de Atacama, None)"
17,0.02526079592099286,0.1318450360698479,"'machine operation, diesel, >= 74.57 kW, high load factor' (hour, Salar de Atacama, None)"
17,0.01649605887443702,0.08609877076371232,"'Water_US-WECC' (kilogram, Salar de Atacama, None)"
18,0.016496059052978806,0.0860987716955851,"'market for electricity, high voltage' (kilowatt hour, CL, None)"
19,0.01200150499003196,0.06264010299803058,"'electricity production, hard coal' (kilowatt hour, CL, None)"
17,0.12626566927529062,0.659025225177064,"'market for sulfuric acid' (kilogram, RoW, None)"
18,0.042809738885542827,0.22343918161400989,"'sulfuric acid production' (kilogram, RoW, None)"
