Level,Fraction,Score,Description
0,1.0,9.077590689340978,"'df_rotary_dryer' (kilogram, Sal de Vida, None)"
1,0.9667039123993614,8.775342434545939,"'df_centrifuge_wash' (kilogram, Sal de Vida, None)"
2,0.966538501981766,8.773840906479256,"'df_washing_BG' (kilogram, Sal de Vida, None)"
3,0.9593804074237512,8.708862653965998,"'df_centrifuge_BG' (kilogram, Sal de Vida, None)"
4,0.9583985392807501,8.699949656852931,"'df_Liprec_BG' (kilogram, Sal de Vida, None)"
5,0.8846237617844346,8.030252423544175,"'df_dissolution' (kilogram, Sal de Vida, None)"
6,0.8785469284593819,7.975089417931999,"'df_centrifuge_TG' (kilogram, Sal de Vida, None)"
7,0.8783815150391772,7.9735878626088565,"'df_washing_TG' (kilogram, Sal de Vida, None)"
8,0.8712234316438129,7.908609711425572,"'df_Liprec_TG' (kilogram, Sal de Vida, None)"
9,0.6996269542085362,6.350927125535395,"'df_ion_exchange_H' (kilogram, Sal de Vida, None)"
10,0.679425316291215,6.167544925267683,"'df_centrifuge_purification_sodaash' (kilogram, Sal de Vida, None)"
11,0.6793851213561346,6.167180052099238,"'df_Mg_removal_sodaash' (kilogram, Sal de Vida, None)"
12,0.6300803742591291,5.71961173891115,"'df_evaporation_ponds' (kilogram, Sal de Vida, None)"
13,0.036418880836863086,0.3305956936009269,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
14,0.020924139569848527,0.1899407745417281,"'electricity production, natural gas, combined cycle power plant' (kilowatt hour, AR, None)"
13,0.035873653940832244,0.3256463470059391,"'machine operation, diesel, >= 74.57 kW, high load factor' (hour, Sal de Vida, None)"
13,0.5479521388928177,4.974085234217916,"'market for quicklime, milled, packed' (kilogram, RoW, None)"
14,0.5360782186471206,4.866298646349599,"'quicklime production, milled, packed' (kilogram, RoW, None)"
15,0.5276357015233851,4.789660931512576,"'quicklime production, milled, loose' (kilogram, RoW, None)"
16,0.5231421432383949,4.748870248662738,"'quicklime production, in pieces, loose' (kilogram, RoW, None)"
17,0.010278705978080505,0.09330588568509704,"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)"
17,0.019956815953363193,0.1811598066871412,"'market for heavy fuel oil' (kilogram, RoW, None)"
18,0.01880927647277915,0.17074291298254032,"'heavy fuel oil production, petroleum refinery operation' (kilogram, RoW, None)"
19,0.01103837914411639,0.10020188774404658,"'market for petroleum' (kilogram, RoW, None)"
12,0.04896613406319168,0.4444945226650509,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Sal de Vida, None)"
10,0.013714103577152888,0.12449101894462085,"'Water_Vid' (kilogram, Sal de Vida, None)"
11,0.013714103725584691,0.12449102029202401,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
9,0.06951483601407535,0.6310272281724353,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Sal de Vida, None)"
9,0.09884397158238567,0.8972651161337484,"'market for soda ash, light' (kilogram, GLO, None)"
10,0.07598893216765076,0.6897964231380297,"'soda production, solvay process' (kilogram, RoW, None)"
11,0.04904154871701103,0.4451791060244013,"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)"
12,0.0433819348215133,0.39380344762136626,"'heat production, at hard coal industrial furnace 1-10MW' (megajoule, RoW, None)"
11,0.011597089340367963,0.10527363021957972,"'market for sodium chloride, brine solution' (kilogram, GLO, None)"
10,0.01589607495913301,0.14429806204609205,"'soda production, solvay process' (kilogram, RER, None)"
5,0.0737747666069336,0.6696971344594042,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Sal de Vida, None)"
1,0.0201406144568048,0.18282825427069754,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Sal de Vida, None)"
1,0.013155472849742783,0.11941999785470311,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
