Level,Fraction,Score,Description
0,1.0,0.8642873430885343,"'df_rotary_dryer' (kilogram, Sal de Vida, None)"
1,0.9647231108797389,0.833797974318355,"'df_centrifuge_wash' (kilogram, Sal de Vida, None)"
2,0.9642999476137184,0.8334322396634735,"'df_washing_BG' (kilogram, Sal de Vida, None)"
3,0.9605945509201472,0.8302297122000978,"'df_centrifuge_BG' (kilogram, Sal de Vida, None)"
4,0.9580829396593414,0.8280589583766247,"'df_Liprec_BG' (kilogram, Sal de Vida, None)"
5,0.9521275750901296,0.822911812155977,"'df_dissolution' (kilogram, Sal de Vida, None)"
6,0.9215643085947675,0.7964963677605936,"'df_centrifuge_TG' (kilogram, Sal de Vida, None)"
7,0.921141143858911,0.7961306318353515,"'df_washing_TG' (kilogram, Sal de Vida, None)"
8,0.9174357522582934,0.7929281087737512,"'df_Liprec_TG' (kilogram, Sal de Vida, None)"
9,0.21797112942912125,0.18838968832430222,"'df_ion_exchange_H' (kilogram, Sal de Vida, None)"
10,0.1704389295629319,0.14730820959080027,"'df_centrifuge_purification_sodaash' (kilogram, Sal de Vida, None)"
11,0.17041418745717374,0.1472868253019521,"'df_Mg_removal_sodaash' (kilogram, Sal de Vida, None)"
12,0.16713304645310267,0.14445097666124468,"'df_evaporation_ponds' (kilogram, Sal de Vida, None)"
13,0.04657887378639007,0.04025753106889525,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
14,0.022386699138490562,0.019348540718928386,"'electricity, high voltage, hydro, import from UY' (kilowatt hour, AR, None)"
15,0.022386699138490562,0.019348540718928386,"'electricity production, hydro, reservoir, non-alpine region' (kilowatt hour, RoW, None)"
13,0.04711610515127671,0.04072185333787695,"'market for quicklime, milled, packed' (kilogram, RoW, None)"
14,0.04344235882285397,0.037546680884503206,"'quicklime production, milled, packed' (kilogram, RoW, None)"
15,0.03526004488388083,0.030474810509871827,"'quicklime production, milled, loose' (kilogram, RoW, None)"
16,0.031876684972934874,0.027550615361728086,"'quicklime production, in pieces, loose' (kilogram, RoW, None)"
17,0.014118854283848552,0.012202747056441636,"'market for limestone, crushed, washed' (kilogram, RoW, None)"
18,0.013383536219370601,0.011567220960168984,"'limestone production, crushed, washed' (kilogram, RoW, None)"
13,0.06714447387353455,0.05803211892723468,"'market for sulfuric acid' (kilogram, RoW, None)"
14,0.05684706956855474,0.049132202719775246,"'sulfuric acid production' (kilogram, RoW, None)"
10,0.03602029172161705,0.031131882229350323,"'Water_Vid' (kilogram, Sal de Vida, None)"
11,0.01831960948941648,0.01583340661202727,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
9,0.680250293566133,0.5879317188614686,"'market for soda ash, light' (kilogram, GLO, None)"
10,0.6180539982172178,0.5341762480044049,"'soda production, solvay process' (kilogram, RoW, None)"
11,0.014010147035898037,0.012108792757936018,"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)"
11,0.017449229466021825,0.015081148174130166,"'market for lime, packed' (kilogram, RoW, None)"
12,0.01725377192940456,0.0149122166991206,"'lime production, milled, packed' (kilogram, RoW, None)"
13,0.015855581012413977,0.01370377798634429,"'market for lime' (kilogram, RoW, None)"
14,0.015280928060143877,0.013207112713028782,"'lime production, milled, loose' (kilogram, RoW, None)"
11,0.030396925059934014,0.026271677598111654,"'market for sodium chloride, brine solution' (kilogram, GLO, None)"
12,0.025160736883561616,0.021746106431243157,"'sodium chloride production, brine solution' (kilogram, RoW, None)"
10,0.05998011655261386,0.05184005557339925,"'soda production, solvay process' (kilogram, RER, None)"
9,0.016283869509943833,0.014073942313949749,"'Water_Vid' (kilogram, Sal de Vida, None)"
6,0.030563249005167163,0.026415429278829214,"'Water_Vid' (kilogram, Sal de Vida, None)"
7,0.01554420466190836,0.013434659347665185,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
1,0.033651067544514336,0.0290841917601411,"'market for electricity, high voltage' (kilowatt hour, AR, None)"
2,0.016173347776995542,0.013978419779026328,"'electricity, high voltage, hydro, import from UY' (kilowatt hour, AR, None)"
3,0.016173347776995542,0.013978419779026328,"'electricity production, hydro, reservoir, non-alpine region' (kilowatt hour, RoW, None)"
