Level,Fraction,Score,Description
0,1.0,38.787816738534886,"'df_rotary_dryer' (kilogram, Upper Rhine Graben, None)"
1,0.9916055567300326,38.46221461135736,"'df_centrifuge_wash' (kilogram, Upper Rhine Graben, None)"
2,0.9915561861503458,38.4602996343602,"'df_washing_BG' (kilogram, Upper Rhine Graben, None)"
3,0.9897840427857897,38.39156206230138,"'df_centrifuge_BG' (kilogram, Upper Rhine Graben, None)"
4,0.9894624343493116,38.3790875732057,"'df_Liprec_BG' (kilogram, Upper Rhine Graben, None)"
5,0.9698477715110232,37.61827762564602,"'df_dissolution' (kilogram, Upper Rhine Graben, None)"
6,0.9681810452200085,37.553628951716846,"'df_washing_TG' (kilogram, Upper Rhine Graben, None)"
7,0.9664089020876645,37.484891388665034,"'df_centrifuge_TG' (kilogram, Upper Rhine Graben, None)"
8,0.9634721059166944,37.37097947698702,"'df_Liprec_TG' (kilogram, Upper Rhine Graben, None)"
9,0.8432827140796728,32.70909537249666,"'df_triple_evaporator' (kilogram, Upper Rhine Graben, None)"
10,0.4749158673597416,18.420949629372,"'df_reverse_osmosis' (kilogram, Upper Rhine Graben, None)"
11,0.39473421454045354,15.310878374024625,"'df_ion_exchange_L' (kilogram, Upper Rhine Graben, None)"
12,0.12592462764247728,4.884341379864653,"'df_CaMg_removal_sodiumhydrox' (kilogram, Upper Rhine Graben, None)"
13,0.12581711226550943,4.88017109312625,"'df_Li_adsorption' (kilogram, Upper Rhine Graben, None)"
14,0.03307923103504398,1.2830711512389417,"'df_acidification' (kilogram, Upper Rhine Graben, None)"
15,0.02587252990271802,1.0035389484288904,"'df_MnZn_removal_lime' (kilogram, Upper Rhine Graben, None)"
16,0.02272907248103915,0.8816110980314229,"'df_SiFe_removal_limestone' (kilogram, Upper Rhine Graben, None)"
17,0.01896141576281727,0.735471919711323,"'market for quicklime, milled, packed' (kilogram, RoW, None)"
18,0.01855052889417925,0.719534515150321,"'quicklime production, milled, packed' (kilogram, RoW, None)"
19,0.018258382799829942,0.7082028059818213,"'quicklime production, milled, loose' (kilogram, RoW, None)"
20,0.018102887053306742,0.7021714654620578,"'quicklime production, in pieces, loose' (kilogram, RoW, None)"
14,0.04673531807470563,1.812760952698819,"'market for cationic resin' (kilogram, RoW, None)"
15,0.04444471249990195,1.7239133634430674,"'cationic resin production' (kilogram, RoW, None)"
16,0.03028497812121435,1.174688181296201,"'market for polystyrene, general purpose' (kilogram, GLO, None)"
17,0.0230182557484684,0.8928278856123195,"'polystyrene production, general purpose' (kilogram, RoW, None)"
14,0.04600256480799796,1.7843390532751993,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Upper Rhine Graben, None)"
12,0.023625208490129113,0.9163702573248065,"'market for electricity, high voltage' (kilowatt hour, DE, None)"
13,0.011836444410782314,0.4591098366412799,"'electricity production, lignite' (kilowatt hour, DE, None)"
12,0.22387118507056383,8.683474499555658,"'Water_geothermal' (kilogram, Upper Rhine Graben, None)"
13,0.2283750946559235,8.858171319159519,"'market for electricity, high voltage' (kilowatt hour, DE, None)"
14,0.04128630691772115,1.6014057065354732,"'electricity production, hard coal' (kilowatt hour, DE, None)"
14,0.01905025698967484,0.738917876937501,"'heat and power co-generation, natural gas, conventional power plant, 100MW electrical' (kilowatt hour, DE, None)"
14,0.11441800032500897,4.438024428196073,"'electricity production, lignite' (kilowatt hour, DE, None)"
12,0.012024668320664412,0.46641063116359727,"'market for hydrochloric acid, without water, in 30% solution state' (kilogram, RoW, None)"
11,0.08018165271710899,3.1100712513840714,"'market for electricity, high voltage' (kilowatt hour, DE, None)"
12,0.014495469955847192,0.5622476321863392,"'electricity production, hard coal' (kilowatt hour, DE, None)"
12,0.04017173755513066,1.5581739943569277,"'electricity production, lignite' (kilowatt hour, DE, None)"
10,0.23765812730301733,9.21823988825283,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Upper Rhine Graben, None)"
11,0.018382582734230705,0.7130202502762961,"'market for natural gas, high pressure' (cubic meter, RoW, None)"
11,0.01215455528542726,0.4714486629495432,"'market for natural gas, high pressure' (cubic meter, US, None)"
12,0.010481098820977619,0.40653894028655396,"'natural gas, high pressure, domestic supply with seasonal storage' (cubic meter, US, None)"
10,0.021081387706837425,0.8177010029668123,"'market for electricity, high voltage' (kilowatt hour, DE, None)"
11,0.010561967053047893,0.40967564245206506,"'electricity production, lignite' (kilowatt hour, DE, None)"
10,0.10962733581527126,4.252205011136564,"'market for steam, in chemical industry' (kilogram, RoW, None)"
11,0.10962733581527122,4.252205011136562,"'steam production, in chemical industry' (kilogram, RoW, None)"
12,0.10962733581527122,4.252205011136562,"'market for heat, from steam, in chemical industry' (megajoule, RoW, None)"
13,0.10962733581527119,4.252205011136561,"'steam production, as energy carrier, in chemical industry' (megajoule, RoW, None)"
14,0.04109585589354137,1.5940185271119216,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, RoW, None)"
14,0.032931750937002215,1.2773507202235164,"'heat production, light fuel oil, at industrial furnace 1MW' (megajoule, RoW, None)"
14,0.030238473558478737,1.1728843708393062,"'heat production, at hard coal industrial furnace 1-10MW' (megajoule, RoW, None)"
9,0.09616870904996527,3.730174262611534,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Upper Rhine Graben, None)"
9,0.023132653280851935,0.8972651161337526,"'market for soda ash, light' (kilogram, GLO, None)"
10,0.01778384248301171,0.6897964231380295,"'soda production, solvay process' (kilogram, RoW, None)"
11,0.011477292187526626,0.4451791060244009,"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)"
12,0.010152761375458685,0.3938034476213669,"'heat production, at hard coal industrial furnace 1-10MW' (megajoule, RoW, None)"
5,0.0196146436333371,0.7608092026415495,"'heat production, natural gas, at industrial furnace >100kW' (megajoule, Upper Rhine Graben, None)"
