Level,Fraction,Score,Description
0,1.0,1.7986283502274916,"'df_rotary_dryer' (kilogram, Upper Rhine Graben, None)"
1,0.9982024729287211,1.7953952670767879,"'df_centrifuge_wash' (kilogram, Upper Rhine Graben, None)"
2,0.9981888665697012,1.7953707942937114,"'df_washing_BG' (kilogram, Upper Rhine Graben, None)"
3,0.9978855423775856,1.7948252268024625,"'df_centrifuge_BG' (kilogram, Upper Rhine Graben, None)"
4,0.9977963285833036,1.7946647643428355,"'df_Liprec_BG' (kilogram, Upper Rhine Graben, None)"
5,0.9945452731607819,1.788817323891727,"'df_dissolution' (kilogram, Upper Rhine Graben, None)"
6,0.9941768228518487,1.7881546187204298,"'df_washing_TG' (kilogram, Upper Rhine Graben, None)"
7,0.9938734986995892,1.7876090513008671,"'df_centrifuge_TG' (kilogram, Upper Rhine Graben, None)"
8,0.9930595478999672,1.7861450563169767,"'df_Liprec_TG' (kilogram, Upper Rhine Graben, None)"
9,0.6500458971734344,1.169190979605204,"'df_triple_evaporator' (kilogram, Upper Rhine Graben, None)"
10,0.5711340233990334,1.027257846264993,"'df_reverse_osmosis' (kilogram, Upper Rhine Graben, None)"
11,0.5489962302864113,0.9874401839611601,"'df_ion_exchange_L' (kilogram, Upper Rhine Graben, None)"
12,0.31020382636486005,0.5579413964488835,"'df_CaMg_removal_sodiumhydrox' (kilogram, Upper Rhine Graben, None)"
13,0.30918399528388985,0.5561070993542073,"'df_Li_adsorption' (kilogram, Upper Rhine Graben, None)"
14,0.07304241453012619,0.13137615754295343,"'df_acidification' (kilogram, Upper Rhine Graben, None)"
15,0.014778398524819797,0.026580846557701026,"'df_MnZn_removal_lime' (kilogram, Upper Rhine Graben, None)"
16,0.013040152107223965,0.023454387271331787,"'df_SiFe_removal_limestone' (kilogram, Upper Rhine Graben, None)"
15,0.05826401854598267,0.10479531555498478,"'market for hydrochloric acid, without water, in 30% solution state' (kilogram, RoW, None)"
16,0.03624817212315703,0.06519699002463608,"'hydrochloric acid production, from the reaction of hydrogen with chlorine' (kilogram, RoW, None)"
17,0.03210939477686554,0.05775286775431689,"'market for chlorine, liquid' (kilogram, RoW, None)"
18,0.03204011783325208,0.05762826427951662,"'chlorine production, liquid' (kilogram, RoW, None)"
19,0.031779207109011096,0.057158982854018395,"'market for chlorine, gaseous' (kilogram, RoW, None)"
20,0.011219918450101321,0.020180463411592735,"'chlor-alkali electrolysis, diaphragm cell' (kilogram, RoW, None)"
20,0.02029250795335452,0.0364986801021203,"'chlor-alkali electrolysis, membrane cell' (kilogram, RoW, None)"
